PSA_1,PSA_2,Attribute,Category
PAI,ICI,Pack Qty,Dulux Paint Offer
PAI,ICI,Size,Dulux Paint Offer
TOI,BAC,Brand,Dummies and Soothers
TOI,BAC,Type,Dummies and Soothers
TOI,BAC,Colour,Dummies and Soothers
TOI,BAC,Pack Qty,Dummies and Soothers
TOI,BAC,Size,Dummies and Soothers
TOI,BAC,Age,Dummies and Soothers
HOM,DUV,Brand,Duvet Covers
HOM,DUV,Type,Duvet Covers
HOM,DUV,Colour,Duvet Covers
HOM,DUV,Pack Qty,Duvet Covers
HOM,DUV,Washable,Duvet Covers
HOM,DUV,Size,Duvet Covers
HOM,DUV,Material,Duvet Covers
HOM,QUI,Brand,Duvets
HOM,QUI,Type,Duvets
HOM,QUI,Colour,Duvets
HOM,QUI,Pack Qty,Duvets
HOM,QUI,Washable,Duvets
HOM,QUI,Size,Duvets
HOM,QUI,Material,Duvets
SBK,BOM,Brand,Educational and Puzzle Books
SBK,BOM,Type,Educational and Puzzle Books
SBK,BOM,Pack Qty,Educational and Puzzle Books
TOI,DEN,Brand,Electric Toothbrushes and Accessories
TOI,DEN,Type,Electric Toothbrushes and Accessories
TOI,DEN,Colour,Electric Toothbrushes and Accessories
TOI,DEN,Power,Electric Toothbrushes and Accessories
TOI,DEN,Size,Electric Toothbrushes and Accessories
TOI,DEN,Model Number,Electric Toothbrushes and Accessories
DIY,ELE,Brand,Electrical Accessories
DIY,ELE,Type,Electrical Accessories
DIY,ELE,Colour,Electrical Accessories
DIY,ELE,Power,Electrical Accessories
DIY,ELE,Size,Electrical Accessories
DIY,ELE,Model Number,Electrical Accessories
TOI,ELE,Brand,Electrical Gifts
TOI,ELE,Type,Electrical Gifts
TOI,ELE,Colour,Electrical Gifts
TOI,ELE,Power,Electrical Gifts
TOI,ELE,Size,Electrical Gifts
TOI,ELE,Model Number,Electrical Gifts
TOI,ELE,Brand,Electrical Hair Styling
TOI,ELE,Type,Electrical Hair Styling
TOI,ELE,Colour,Electrical Hair Styling
TOI,ELE,Power,Electrical Hair Styling
TOI,ELE,Size,Electrical Hair Styling
TOI,ELE,Model Number,Electrical Hair Styling
SBK,KFL,Brand,Emoji Stationery
SBK,KFL,Type,Emoji Stationery
DIY,BUL,Brand,Energy Saving Bulbs
DIY,BUL,Type,Energy Saving Bulbs
DIY,BUL,Power,Energy Saving Bulbs
DIY,BUL,Pack Qty,Energy Saving Bulbs
DIY,BUL,Size,Energy Saving Bulbs
HOU,MOP,Brand,English Heritage
HOU,MOP,Type,English Heritage
HOU,MOP,Pack Qty,English Heritage
HOM,CUS,Brand,Enterprising Britain Bedroom Collection
HOM,CUS,Type,Enterprising Britain Bedroom Collection
HOM,CUS,Colour,Enterprising Britain Bedroom Collection
HOM,CUS,Size,Enterprising Britain Bedroom Collection
HOM,CUS,Assembly,Enterprising Britain Bedroom Collection
HOM,CUS,Material,Enterprising Britain Bedroom Collection
HOM,CUS,Brand,Enterprising Britain Living Room Collection
HOM,CUS,Type,Enterprising Britain Living Room Collection
HOM,CUS,Colour,Enterprising Britain Living Room Collection
HOM,CUS,Size,Enterprising Britain Living Room Collection
HOM,CUS,Assembly,Enterprising Britain Living Room Collection
HOM,CUS,Material,Enterprising Britain Living Room Collection
SBK,COO,Brand,Enterprising Britain Stationery
SBK,COO,Type,Enterprising Britain Stationery
SBK,ADH,Brand,Envelopes & Postal Packaging
SBK,ADH,Type,Envelopes & Postal Packaging
SBK,ADH,Colour,Envelopes & Postal Packaging
SBK,ADH,Pack Qty,Envelopes & Postal Packaging
SBK,ADH,Size,Envelopes & Postal Packaging
SBK,DES,Brand,Erasers & Pencil Sharpeners
SBK,DES,Type,Erasers & Pencil Sharpeners
SBK,DES,Pack Qty,Erasers & Pencil Sharpeners
SBK,DES,Size,Erasers & Pencil Sharpeners
TOI,COS,Brand,Essence
TOI,COS,Type,Essence
TOI,COS,Colour,Essence
TOI,COS,Pack Qty,Essence
TOI,COS,Size,Essence
TOI,FAA,Brand,Ethnic Hair Care
TOI,FAA,Type,Ethnic Hair Care
TOI,FAA,Colour,Ethnic Hair Care
TOI,FAA,Pack Qty,Ethnic Hair Care
TOI,FAA,Size,Ethnic Hair Care
KIT,DIN,Brand,Extended Collections
KIT,DIN,Type,Extended Collections
KIT,DIN,Colour,Extended Collections
KIT,DIN,Pack Qty,Extended Collections
KIT,DIN,Size,Extended Collections
DIY,ELE,Brand,Extension Leads
DIY,ELE,Type,Extension Leads
DIY,ELE,Colour,Extension Leads
DIY,ELE,Size,Extension Leads
DIY,ELE,Model Number,Extension Leads
TOI,EYE,Brand,Eye Care
TOI,EYE,Type,Eye Care
TOI,EYE,Pack Qty,Eye Care
TOI,EYE,Size,Eye Care
HOM,CUR,Brand,Eyelet Curtains
HOM,CUR,Type,Eyelet Curtains
HOM,CUR,Coverage,Eyelet Curtains
HOM,CUR,Colour,Eyelet Curtains
HOM,CUR,Washable,Eyelet Curtains
HOM,CUR,Size,Eyelet Curtains
HOM,CUR,Material,Eyelet Curtains
TOI,RIM,Brand,Eyes
TOI,RIM,Type,Eyes
TOI,RIM,Colour,Eyes
TOI,RIM,Pack Qty,Eyes
TOI,RIM,Size,Eyes
HOM,HAB,Brand,"Fabric Dye, Yarn & Sewing"
HOM,HAB,Type,"Fabric Dye, Yarn & Sewing"
HOM,HAB,Colour,"Fabric Dye, Yarn & Sewing"
HOM,HAB,Pack Qty,"Fabric Dye, Yarn & Sewing"
HOM,HAB,Size,"Fabric Dye, Yarn & Sewing"
CLE,LAU,Brand,Fabric Dyes & Clothes Dyes
CLE,LAU,Type,Fabric Dyes & Clothes Dyes
CLE,LAU,Colour,Fabric Dyes & Clothes Dyes
CLE,LAU,Pack Qty,Fabric Dyes & Clothes Dyes
CLE,LAU,Size,Fabric Dyes & Clothes Dyes
HOM,BAT,Brand,Face Cloths & Hair Towels
HOM,BAT,Type,Face Cloths & Hair Towels
HOM,BAT,Colour,Face Cloths & Hair Towels
HOM,BAT,Pack Qty,Face Cloths & Hair Towels
HOM,BAT,Washable,Face Cloths & Hair Towels
HOM,BAT,Size,Face Cloths & Hair Towels
HOM,BAT,Material,Face Cloths & Hair Towels
TOI,FAA,Brand,Face Makeup & Cosmetics
TOI,FAA,Type,Face Makeup & Cosmetics
TOI,FAA,Brand,Facial Accessories
TOI,FAA,Type,Facial Accessories
TOI,FAA,Pack Qty,Facial Accessories
TOI,FAA,Size,Facial Accessories
TOI,MON,Brand,Facial Cleansing
TOI,MON,Type,Facial Cleansing
TOI,MON,Pack Qty,Facial Cleansing
TOI,MON,Size,Facial Cleansing
TOI,FAC,Brand,Facial Moisturisers
TOI,FAC,Type,Facial Moisturisers
TOI,FAC,Pack Qty,Facial Moisturisers
TOI,FAC,Size,Facial Moisturisers
