"Article","Web Description","Brand","Type","Colour","Power","Pack Qty","Size","Assembly","DQ Score"
"436843","Wilko Florence Table Lamp Black","Wilko","Table Lamps",NA,NA,"1",NA,"No",0.85
"436846","Wilko Ombre Table Lamp Purple","Wilko","Table Lamps",NA,"60w","1","Table Lamp 30 x 50.5","No",0.95
"436847","Wilko Ombre Table Lamp Teal","Wilko","Table Lamps",NA,"60w","1","Table Lamp 30 x 50.5","No",0.95
"436848","Wilko Herringbone Shade Black 30cm","Wilko","Light Shades",NA,NA,"1","Shade 30 x 20",NA,0.93
"436849","Wilko Herringbone Shade Grey 30cm","Wilko","Light Shades",NA,NA,"1","Shade 30 x 20",NA,0.93
"436854","Wilko Small Glitter Shade Neutral 30cm","Wilko","Light Shades",NA,NA,"1","Shade 30 x 20",NA,0.93
"436855","Wilko Ritz Pendant Grey 30cm","Wilko","Pendants",NA,NA,"1","Pendant 30 x 36.5",NA,0.93
"436856","Wilko Lace Drum Shade Grey 30cm","Wilko","Light Shades",NA,NA,"1","Shade 30 x 20",NA,0.93
"436857","Wilko Amelia Shade White 30cm","Wilko","Light Shades",NA,NA,"1","Shade 30 x 20",NA,0.93
"436858","Wilko Amelia Shade Grey 30cm","Wilko","Light Shades",NA,NA,"1","Shade 30 x 20",NA,0.93
"436859","Wilko Shade Black and Copper ColouredLining 30cm","Wilko","Light Shades",NA,NA,"1","Pendant 30 x 20",NA,0.93
"436861","Wilko Swirl Table Lamp Chrome Effect","Wilko","Table Lamps",NA,"60w","1","Table Lamp 25 x 40.5","No",0.95
"436862","Wilko Swirl Table Lamp Brass","Wilko","Table Lamps",NA,"60w","1","Table Lamp 25 x 40.5","No",0.95
"436863","Wilko Ceramic Heart Shaped Table Lamp","Wilko","Table Lamps",NA,"25w","1","Table Lamp 11.5 x 22.5 x 23","No",0.95
"436864","Wilko Tunis Table Lamp Chrome","Wilko","Table Lamps",NA,"60w","1","Table Lamp 12 x 23","No",0.95
"436865","Wilko Tunis Table Lamp Brass Effect","Wilko","Table Lamps",NA,"60w","1","Table Lamp 12 x 23","No",0.95
"436868","Wilko Charlie Pendant Silver","Wilko","Pendants",NA,NA,"1","Pendant 20 x 27",NA,0.93
"436869","Wilko Lucy Pendant Crystal Effect","Wilko","Pendants",NA,NA,"1","Pendant 18 x 18",NA,0.93
