"Article","Web Description","Brand","Type","Colour","Pack Qty","Washable","Size","Material","Power","Capacity","Coverage","DQ Score"
"407386","Wilko Glitter Mirror 40 x 50cm","Wilko","Bathroom Mirrors",NA,"1",NA,"40 x 50cm",NA,NA,NA,NA,1
"407442","Wilko Retro Toilet Brush Grey","Wilko","Toilet Brushes and Holders",NA,NA,NA,NA,NA,NA,NA,NA,1
"420323","Wilko 3 Function Shower Set","Wilko","Shower Sets",NA,"1",NA,"68.4 cm x 13 cm x 12.5 cm",NA,NA,NA,NA,1
"421113","Wilko Toilet Brush Holder Aqua","Wilko","Toilet Brushes and Holders",NA,NA,NA,NA,NA,NA,NA,NA,1
"423848","Wilko Toilet Brush Holder Purple","Wilko","Toilet Brushes and Holders",NA,NA,NA,NA,NA,NA,NA,NA,1
"426394","Wilko Single Function Rectangle Shower Head","Wilko","Shower Heads",NA,"1",NA,"23.4 cm x 5.8 cm x 3.4 cm",NA,NA,NA,NA,1
"451436","Wilko Rope Lantern","Wilko","Bathroom Ornament","Clear","1",NA,"25cm x 15.5 cm",NA,NA,NA,NA,1
"451437","Wilko Shell Jar","Wilko","Bathroom Ornament","Clear","1",NA,"21cm x 10cm",NA,NA,NA,NA,1
"451457","Wilko Toilet Brush Single","Wilko","Toilet Brushes and Holders",NA,NA,NA,NA,NA,NA,NA,NA,1
"451458","Wilko Metal Shower Squeegie","Wilko","Bathroom Squeegee",NA,"1",NA,"L4 x W24.5 x H16 (CM)",NA,NA,NA,NA,1
"451460","Wilko Sandstone Toilet Brush Holder","Wilko","Toilet Brushes and Holders",NA,NA,NA,NA,NA,NA,NA,NA,1
"453202","Wilko Resin Sparkle Toilet Brush Holder","Wilko","Toilet Brushes and Holders",NA,NA,NA,NA,NA,NA,NA,NA,1
"143628","Wilko Functional Zinc Chloride Batteries D 1.5V2pk","Wilko Functional","D",NA,"2pk",NA,"D",NA,"1.5V",NA,NA,1
"143629","Wilko Functional Zinc Chloride Batteries C 1.5V2pk","Wilko Functional","C",NA,"2pk",NA,"C",NA,"1.5V",NA,NA,1
"143630","Wilko Functional Zinc Chloride Batteries AA 5V 4pk","Wilko Functional","AA",NA,"4pk",NA,"AA",NA,"1.5V",NA,NA,1
"143631","Wilko Functional Zinc Chloride Batteries AAA 1.5V4pk","Wilko Functional","AAA",NA,"4pk",NA,"AAA",NA,"1.5V",NA,NA,1
"143634","Wilko Functional Zinc Chloride Batteries AA 1.5V12pk","Wilko Functional","AA",NA,"12pk",NA,"AA",NA,"1.5V",NA,NA,1
"23469","Wilko Functional Toilet Brush White","Wilko Functional","Toilet Brushes and Holders",NA,NA,NA,NA,NA,NA,NA,NA,1
"236331","Wilko Functional Toilet Brush and Holder","Wilko Functional","Toilet Brushes and Holders","White","1",NA,"Single",NA,NA,NA,NA,1
"70733","Wilko Functional Shaving Mirror","Wilko Functional","Bathroom Mirrors",NA,"1",NA,"Single",NA,NA,NA,NA,1
"169724","Wrights Traditional Coal Tar Soap 4pk","Wrights","Soap",NA,"1",NA,"500g",NA,NA,NA,NA,1
