"PSA_1","PSA_2","Article","Web Description","Brand","Height","Width","Depth","Type","Size","Colour","Pack Qty","Material","Assembly","Washable","Power","Capacity","Coverage","Age","Model Number","DQ Score"
"FOO","SXM","337712","Guinness Twist Wraps 135g","Guinness","16.0CM","8.4CM","9.0CM","Boxed Chocolate","135g",NA,"1",NA,"No",NA,NA,NA,NA,NA,NA,0.65
"FOO","SXM","441971","Guinness Milk Chocolate Caramel Bar 80g","Guinness","15.5CM","1.3CM","7.8CM","Confectionery Gifts","80g",NA,"1",NA,"No",NA,NA,NA,NA,NA,NA,0.65
"FOO","SXM","404717","Temptations Sharing Bag 522g","Guylian","30.0CM","23.0CM","7.5CM","Confectionery Gifts","522g",NA,"1",NA,"No",NA,NA,NA,NA,NA,NA,0.6
"FOO","SXM","236915","Haribo Tangfastics Tube 120g","Haribo","6.5CM","20.0CM","6.5CM","Confectionery Gifts","120g",NA,"1",NA,"No",NA,NA,NA,NA,NA,NA,0.65
"FOO","SXM","236916","Haribo Starmix Tube 120g","Haribo","6.5CM","20.0CM","6.5CM","Confectionery Gifts","120g",NA,"1",NA,"No",NA,NA,NA,NA,NA,NA,0.65
"FOO","SXM","404465","Maoam Stripes Tube 100g","Haribo","6.5CM","20.0CM","6.5CM","Confectionery Gifts",NA,NA,"1",NA,"No",NA,NA,NA,NA,NA,NA,0.6
"FOO","SXM","423806","Haribo Starmix Giant Tube 384g","Haribo","56.2CM","6.5CM","6.5CM","Confectionery Gifts","384g",NA,"1",NA,"No",NA,NA,NA,NA,NA,NA,0.65
"FOO","SXM","444651","Haribo Starmixmas 190g","Haribo","19.7CM","16.0CM","2.5CM","Confectionery Gifts","190g",NA,"1",NA,"No",NA,NA,NA,NA,NA,NA,0.65
"FOO","SXM","442126","Kinder Santa Surprise 75g","Kinder","12.1CM","10.5CM","4.2CM","Confectionery Gifts","75g",NA,"1","Chocolate","No",NA,NA,NA,NA,NA,NA,0.65
"FOO","SXM","421452","Peppa Pig Character Chocolate Shapes 37g","Kinnerton","12.8CM","166.0CM","1.7CM","Confectionery Gifts",NA,NA,"1","Chocolate","No",NA,NA,NA,NA,"4+",NA,0.6
"FOO","SXM","259889","Lindt Milk Chocolate Santa 125g","Lindt","17.0CM","6.2CM","4.5CM","Confectionery Gifts","125g",NA,"1",NA,"No",NA,NA,NA,NA,NA,NA,0.65
"FOO","SXM","259890","Lindt Milk Chocolate Reindeer 100g","Lindt","11.6CM","3.7CM","9.8CM","Confectionery Gifts","100g",NA,"1",NA,"No",NA,NA,NA,NA,NA,NA,0.65
"FOO","SXM","270999","Lindt Lindor Milk 337g","Lindt","20.5CM","13.5CM","7.5CM","Boxed Chocolate","337g",NA,"1",NA,"No",NA,NA,NA,NA,NA,NA,0.65
"FOO","SXM","271000","Lindt Lindor Assorted 337g","Lindt","20.5CM","13.5CM","7.5CM","Boxed Chocolates","337g",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,1
"FOO","SXM","309879","Lindt Milk Chocolate Teddy Bear 100g","Lindt","11.8CM","7.3CM","5.9CM","Confectionery Gifts","100g",NA,"1",NA,"No",NA,NA,NA,NA,NA,NA,0.65
"FOO","SXM","309886","Lindt Chocolate Santa Sleigh 50g","Lindt","8.6CM","24.4CM","1.3CM","Confectionery Gifts","50g",NA,"1",NA,"No",NA,NA,NA,NA,NA,NA,0.65
"FOO","SXM","309887","Lindt Milk Chocolate Teddy Bears x 5","Lindt","8.6CM","24.4CM","1.3CM","Confectionery Gifts",NA,NA,"50g",NA,"No",NA,NA,NA,NA,NA,NA,0.65
"FOO","SXM","338943","Lindt Lindor Milk 100g","Lindt","14.5CM","9.5CM","2.0CM","Confectionery Gifts","100g",NA,"1",NA,"No",NA,NA,NA,NA,NA,NA,0.65
"FOO","SXM","338945","Lindt Lindor My Melting Moment Star 20g","Lindt","10.0CM","7.5CM","1.3CM","Confectionery Gifts","20g",NA,"1",NA,"No",NA,NA,NA,NA,NA,NA,0.65
"FOO","SXM","406117","Lindor Cornet White 200g","Lindt","15.7CM","11.0CM","6.5CM","Boxed Chocolate","200g",NA,"1",NA,"No",NA,NA,NA,NA,NA,NA,0.6
"FOO","SXM","425624","Lindt Lindor Orange 200g","Lindt","15.7CM","11.0CM","6.5CM","Boxed Chocolate",NA,NA,"1",NA,"No",NA,NA,NA,NA,NA,NA,0.65
"FOO","SXM","441934","Lindt Lindor Hazlenut 200g","Lindt","15.7CM","11.0CM","6.5CM","Boxed Chocolate","200g",NA,"1",NA,"No",NA,NA,NA,NA,NA,NA,0.65
"FOO","SXM","443330","Lindt Teddy Adorable Advent Calendar 250g","Lindt","34.0CM","27.0CM","6.5CM","Advent Calendar","250g",NA,"1",NA,"No",NA,NA,NA,NA,NA,NA,0.6
"FOO","SXM","445281","Lindt Selection 428g","Lindt","25.0CM","36.0CM","3.7CM","Boxed Chocolate","428g",NA,"1",NA,"No",NA,NA,NA,NA,NA,NA,0.65
"FOO","SXM","236912","Maltesers and friends Selection Box Large 213g","Maltesers","19.1CM","37.0CM","2.8CM","Selection Box","213g",NA,"1",NA,"No",NA,NA,NA,NA,NA,NA,0.65
"FOO","SXM","423816","Merryteaser Mini Reindeer Bag 59g","Maltesers","15.0CM","12.0CM","2.3CM","Confectionery Gifts",NA,NA,"5",NA,"No",NA,NA,NA,NA,NA,NA,0.6
"FOO","SXM","338490","Mars Merryteaser Chocolate Reindeer 29g","Mars","10.0CM","3.8CM","2.0CM","Confectionery Gifts","29g",NA,"1",NA,"No",NA,NA,NA,NA,NA,NA,0.65
"FOO","SXM","441723","Celebrations Pouch 450g","Mars","26.0CM","20.0CM","10.0CM","Confectionery Gifts","450g",NA,"1",NA,"No",NA,NA,NA,NA,NA,NA,0.6
"FOO","SXM","404687","Maynards Sportmix Carton 400g","Maynards","18.6CM","12.7CM","6.6CM","Confectionery Gifts","400g",NA,"1",NA,"No",NA,NA,NA,NA,NA,NA,0.65
"FOO","SXM","441761","Maynards Wine Gums Tub 800g","Maynards","13.0CM","15.7CM","15.7CM","Confectionery Gifts","800g",NA,"1",NA,"No",NA,NA,NA,NA,NA,NA,0.65
"FOO","SXM","441763","Bassetts Wine Gums Merry Mix 165g","Maynards","18.0CM","14.0CM","2.0CM","Confectionery Gifts","165g",NA,"1",NA,"No",NA,NA,NA,NA,NA,NA,0.6
"FOO","SXM","441956","Anthon Berg 16 Piece Liqueurs","Millions","26.0CM","5.3CM","5.3CM","Boxed Chocolate",NA,NA,"1",NA,"No",NA,NA,NA,NA,NA,NA,0.6
"FOO","SXM","146347","Rowntrees Jelly Tots Tube 130g","Nestle","4.0CM","18.2CM","4.0CM","Confectionery Gifts","130g",NA,"1",NA,"No",NA,NA,NA,NA,NA,NA,0.6
"FOO","SXM","192883","Nestle Little Rolo Tube 100g","Nestle","4.8CM","4.8CM","18.4CM","Confectionery Gifts","100g",NA,"1",NA,"No",NA,NA,NA,NA,NA,NA,0.65
