"PSA_1","PSA_2","Article","Web Description","Brand","Height","Width","Depth","Type","Size","Colour","Pack Qty","Age","DQ Score"
"TOI","FAC","351154","Nivea Daily Essentials 3 in 1 Sensitive CaringMicellar Water 200ml","Nivea","18.1CM","5.8CM","3.5CM","Cleansing Lotion","200ml",NA,"1",NA,1
"TOI","FAC","351155","Nivea Daily Essentials Sensitive Cleansing Milk200ml","Nivea","18.1CM","5.8CM","3.5CM","Body Moisturiser","200ml",NA,"1",NA,1
"TOI","FAC","351156","Nivea Daily Essentials Sensitive Day Cream SPF1550ml","Nivea","12.5CM","4.8CM","3.8CM","Facial Moisturisers","50ml",NA,"1",NA,1
"TOI","FAC","351157","Nivea Daily Essentials Sensitive Night Cream 50ml","Nivea","12.5CM","4.8CM","3.8CM","Facial Moisturisers","50ml",NA,"1",NA,1
"TOI","FAC","351599","Nivea Q10 Plus Anti-Wrinkle CC Tinted Day CreamSPF 15 50ml","Nivea","12.5CM","3.9CM","4.9CM","Facial Moisturisers","50ml",NA,"1",NA,1
"TOI","FAC","351602","Nivea In-Shower Body Moisturiser Indulging Cocoa250ml","Nivea","19.6CM","7.2CM","4.5CM","Body Moisturiser","250ml",NA,"1",NA,1
"TOI","FAC","433805","Nivea Daily Essentials Caring Micellar WaterNormal Skin 200ml","Nivea","18.0CM","5.9CM","3.7CM","Make Up Removers and Wipes","200ml",NA,"1",NA,1
"TOI","FAC","439495","Nivea Creme Tin 75ml","Nivea","8.3CM","8.3CM","1.8CM","Body Moisturisers","75ml",NA,"1",NA,1
"TOI","FAC","449224","Nivea Q10 Anti-Age Hand Cream 75ml","Nivea","12.1CM","5.9CM","2.8CM","Hand Cream","75ml",NA,"1",NA,1
"TOI","FAC","449225","Nivea Express Care Hand Cream 75ml","Nivea","12.1CM","5.9CM","2.8CM","Hand Cream","75ml",NA,"1",NA,1
"TOI","FAC","449226","Nivea Hand Cream Nourishing Care 75ml","Nivea","12.1CM","5.9CM","2.8CM","Hand Cream","75ml",NA,"1",NA,1
"TOI","FAC","100782","Olay Beauty Fluid 100ml","Olay","12.3CM","6.9CM","3.4CM","Facial Moisturisers","100ml",NA,"1",NA,1
"TOI","FAC","100784","Olay Regular Fluid 200ml","Olay","14.6CM","8.6CM","3.8CM","Facial Moisturisers","200ml",NA,"1",NA,1
"TOI","FAC","204694","Olay Gentle Cleansers Face Wash 150ml","Olay","14.9CM","8.0CM","4.5CM","Face Wash","150ml",NA,"1",NA,1
"TOI","FAC","245099","Olay Everyday Cream Light Glow 50ml","Olay","13.4CM","4.0CM","4.0CM","Facial Moisturisers","50ml",NA,"1",NA,1
"TOI","FAC","248484","Olay Anti Wrinkle Firm and Lift Night Cream 50ml","Olay","4.9CM","6.3CM","6.3CM","Facial Moisturisers","50ml",NA,"1",NA,1
"TOI","FAC","276143","Olay Double action Day Cream 50ml","Olay","4.8CM","6.4CM","6.3CM","Facial Moisturisers","50ml",NA,"1",NA,1
