"PSA_1","PSA_2","Article","Web Description","DQ Score"
"TOI","PER","449713","Cacharel Amor Amor Eau de Toilette 30ml",0.95
"TOI","PER","449714","Calvin Klein CK One Eau de Toilette 50ml",0.95
"TOI","PER","449709","Katy Perry Mad Potion Eau de Parfum 30ml",0.95
"TOI","PER","449710","Lady Gaga Eau de Parfum 30ml",0.95
"TOI","PER","449670","Charlie Blue Eau De Toilette Spray 100ml",0.9
"TOI","PER","449671","Charlie Red Eau de Toilette 100ml",0.9
"TOI","PER","442613","Vera Wang Lovestruck Eau de Parfum 30ml",0.95
"TOI","PER","449697","Vera Wang Lovestruck Eau De Parfum 100ml",0.95
"TOI","RIM","432725","Rimmel Fix and Protect Primer",0.95
"TOI","RIM","453467","Brow This Way with Argan Oil Med Brown",0.9
"TOI","SAN","125949","Always Maxi Long Plus 12pk",0.75
"TOI","SAN","287300","Always Ultra Duo Normal Plus/Long 26pk",0.75
"TOI","SAN","287351","Always Ultra Duo Long Plus 22pk",0.75
"TOI","SAN","246184","Bodyform Daily Fresh Liners Extra Long 24pk",0.75
"TOI","SHC","454550","Dove Coconut Restore Ritual Conditioner 250ml",0.8625
"TOI","SHC","454553","Dove Lavender Thicken Ritual Conditioner 250ml",0.8625
"TOI","SHC","454554","Dove Avocado Strengthening Ritual Shampoo 250ml",0.95
"TOI","SHC","454555","Dove Coconut Restoring Ritual Shampoo 250ml",0.95
"TOI","SHC","454557","Dove Lavender Thickening Ritual Shampoo 250ml",0.95
"TOI","SHC","454558","Dove Avocado Strengthening Ritual Conditioner200ml",0.8625
"TOI","SHC","302228","Schwarzkopf Got2Be Beach Matt Paste 100ml",0.88
"TOI","SUN","450567","Rimmel Self Tan Mousse Light Matte 150ml",0.8625
"TOI","XMS","441431","Nivea Pure Care Moments",0.716666666666667
