"PSA_1","PSA_2","Article","Web Description","Brand","Type","Colour","Pack Qty","Size","Material","Capacity","Power","Model Number","Washable","Assembly","DQ Score"
"HOU","MOP","454130","Wilko Heavy Duty Wooden Handle","Wilko","Broom and Brush Heads",NA,"1",NA,"Pine",NA,NA,NA,NA,NA,0.883333333333333
"HOU","MOP","454131","Wilko Mop and Broom Holder","Wilko",NA,NA,"1",NA,"PP",NA,NA,NA,NA,NA,0.825
"HOU","MOP","454132","Wilko Wooden Brush Head with Stiff PVC Bristles279mm","Wilko","Broom and Brush Heads",NA,"1",NA,"Rubberwood, PVC, PP",NA,NA,NA,NA,NA,0.883333333333333
"HOU","MOP","454134","Wilko Wooden Brush Head with StiffBassine Bristles 279mm","Wilko","Broom and Brush Heads",NA,"1",NA,"Rubberwood, Bassine, PP",NA,NA,NA,NA,NA,0.883333333333333
"HOU","MOP","454135","Wilko Wooden Brush Head Heavy Duty with Caneand Bassine Bristles 279mm","Wilko","Broom and Brush Heads",NA,"1",NA,"Rubberwood, Bassine, PP",NA,NA,NA,NA,NA,0.883333333333333
"HOU","MOP","454136","Wilko Wooden Brush Head with Stiff PVC Bristles330cm","Wilko","Broom and Brush Heads",NA,"1",NA,"Rubberwood, PVC, PP",NA,NA,NA,NA,NA,0.883333333333333
"HOU","MOP","454137","Wilko Wooden Deck Scrub Broom Head with Stiff PVCBristles 228mm","Wilko","Broom and Brush Heads",NA,"1",NA,"Rubberwood, Bassine, PP",NA,NA,NA,NA,NA,0.883333333333333
"HOU","MOP","454138","Wilko Window Brush Head Soft Bristles","Wilko","Broom and Brush Heads",NA,"1",NA,"Rubberwood, Coco, PP",NA,NA,NA,NA,NA,0.883333333333333
"HOU","MOP","454139","Wilko Shovel Pan and Handbrush Heavy Duty","Wilko","Dustpan and Brushes",NA,"1",NA,"PP, TPR, Rubberwood, Bassine",NA,NA,NA,NA,NA,0.883333333333333
"HOU","MOP","454140","Wilko Utility Broom Heavy Duty","Wilko","Broom and Brush Heads",NA,"1",NA,"Rubberwood, PVC, Steel, PP, Mild Steel",NA,NA,NA,NA,NA,0.883333333333333
"HOU","MOP","454141","Wilko Bulldozer Broom Heavy Duty","Wilko","Broom and Brush Heads",NA,"1",NA,"PP, TPR, Steel, PVC",NA,NA,NA,NA,NA,0.883333333333333
