"PSA_1","PSA_2","Article","Web Description","Brand","Height","Width","Depth","Type","Size","Colour","Pack Qty","Power","DQ Score"
"PET","DOG","454875","Webbox Natural Trays Chick Rice&Veg 400g","Webbox","16.4CM","11.5CM","3.8CM","Tinned","400g",NA,"1",NA,1
"PET","DOG","454876","Webbox Natural Trays Beef Rice&Veg 400gRice Tray 400g","Webbox","16.4CM","12.0CM","3.8CM","Tinned","400g",NA,"1",NA,1
"PET","DOG","456293","Webbox Natural Complete Adult Lamb 2.25kg","Webbox","45.7CM","21.0CM","13.0CM","Small Bagged Food","2.25kg",NA,"1",NA,1
"PET","DOG","456294","Webbox Natural Complete Adult Chicken 2.25kg","Webbox","45.7CM","21.0CM","13.0CM","Small Bagged Food","2.25kg",NA,"1",NA,1
"PET","DOG","54134","Webbox Dog Food Chub Roll Turkey and Rabbit 800g","Webbox","6.5CM","22.0CM","6.5CM","Sausage Chub","800g",NA,"1",NA,1
"PET","DOG","165344","Wilko Dog Mixer Mini Wheaty Feast 1.5kg","Wilko","33.5CM","20.4CM","9.6CM","Puppy Food","1.5kg",NA,"1",NA,1
"PET","DOG","173531","Wilko Dog Food Chicken and Turkey Tray 150g","Wilko","9.0CM","9.0CM","3.7CM","Foil Tray","150g",NA,"1",NA,1
"PET","DOG","214703","Wilko Adult Dog Food Meaty Feast Terrine Game andChicken Tray 150g","Wilko","9.0CM","9.0CM","3.7CM","Foil Tray","150g",NA,"1",NA,1
"PET","DOG","214705","Wilko Adult Dog Food Meaty Feast Terrine TastyTurkey and Chicken Tray 300g","Wilko","11.1CM","10.6CM","4.5CM","Foil Tray","300g",NA,"1",NA,1
"PET","DOG","266986","Wilko Complete Dog Food Special Feast withChicken and Vegetables 2.5kg","Wilko","36.0CM","20.8CM","13.0CM","Small Bagged Food","2.5kg",NA,"1",NA,1
"PET","DOG","266988","Wilko Complete Puppy Food Beef and Vegetables2.5kg","Wilko","37.0CM","20.0CM","16.0CM","Puppy Food","2.5kg",NA,"1",NA,1
"PET","DOG","303620","Wilko Tinned Dog Food Tripe Mix 6 x 400g","Wilko","10.9CM","22.4CM","15.0CM","Tinned","6x400g",NA,"6",NA,1
"PET","DOG","303633","Wilko Complete Dry Dog Food Chicken and CountryVegetables for Small Dogs 2.5kg","Wilko","37.0CM","21.0CM","15.0CM","Small Bagged Food","2.5kg",NA,"1",NA,1
"PET","DOG","336137","Wilko Complete Dog Food Mighty Meaty with TastyChicken and Vegetables 9kg","Wilko","68.1CM","49.4CM","7.7CM","Large Bagged Food","9Kg",NA,"1",NA,1
"PET","DOG","340749","Wilko Puppy Food Feast Selection in Jelly 12 x100g","Wilko","14.3CM","19.3CM","9.6CM","Puppy Food","12x100g",NA,"12",NA,1
"PET","DOG","413524","Wilko Dog Food Turkey Chicken Beef and Poultryin Jelly for Adult Dogs 12 x 100g","Wilko","14.0CM","19.6CM","9.7CM","Pouches","12x100g",NA,"12",NA,1
"PET","DOG","413525","Wilko Dog Food Turkey Chicken Beef and Poultry inGravy for Adult Dogs 12 x 100g","Wilko","14.0CM","19.6CM","9.7CM","Pouches","12x100g",NA,"12",NA,1
"PET","DOG","431494","Wilko Tinned Dog Food Meaty Feast Chicken Lamband Beef Chunks in Gravy 6 x 400g","Wilko","10.5CM","15.0CM","22.5CM","Tinned","6x400g",NA,"6",NA,1
"PET","DOG","431495","Wilko Working Dog Food Chicken Lamb Beef andTurkey in Jelly 12 x 400g","Wilko","10.5CM","22.5CM","30.0CM","Tinned","12x400g",NA,"12",NA,1
"PET","DOG","453031","Wilko Working Dog Chunks in Jelly 6x400g","Wilko","10.5CM","15.0CM","22.5CM","Tinned","400g x 6",NA,"6",NA,1
"PET","DOG","70410","Wilko Dog Wheaty Feast Biscuit Mixer 3kg","Wilko","39.4CM","20.6CM","11.7CM","Small Bagged Food","3kg",NA,"1",NA,1
"PET","DOG","336138","Wilko Best Dog Food Chicken Breast Flakes withVegetables Pouch 100g","Wilko Best","14.0CM","9.5CM","2.0CM","Pouches","100g",NA,"1",NA,1
"PET","DOG","336139","Wilko Best Dog Food Chicken Breast Flakes withBeef Liver Pouch 100g","Wilko Best","14.0CM","9.5CM","2.0CM","Pouches","100g",NA,"1",NA,1
"PET","DOG","431070","Wilko Best Pouch Dog Food Chicken in Broth 6 x100g","Wilko Best","14.2CM","9.9CM","9.5CM","Pouches","6x100g",NA,"6",NA,1
"PET","DOG","431071","Wilko Best Pouch Dog Food Chicken in Jelly 6 x100g","Wilko Best","14.2CM","9.9CM","9.5CM","Pouches","6x100g",NA,"6",NA,1
"PET","DOG","453032","Wilko Best Dog Food Grain Free Chicken 395g","Wilko Best","15.5CM","13.0CM","3.0CM","Grain and Wheat Free Food","395g",NA,"1",NA,1
"PET","DOG","453034","Wilko Best Dog Food Grain Free Chicken 142g","Wilko Best","9.0CM","9.0CM","4.0CM","Grain and Wheat Free Food","142g",NA,"1",NA,1
"PET","DOG","453035","Wilko Best Dog Food Grain Free Turkey 142g","Wilko Best","9.0CM","9.0CM","4.0CM","Grain and Wheat Free Food","142g",NA,"1",NA,1
"PET","DOG","453152","Wilko Best Complete Dry Dog Food Turkey and Rice2kg","Wilko Best","35.0CM","21.5CM","13.0CM","Small Bagged Food","2kg",NA,"1",NA,1
"PET","DOG","453153","Wilko Best Complete Dry Dog Food Lamb and Rice 2kg","Wilko Best","35.0CM","21.5CM","13.0CM","Small Bagged Food","2kg",NA,"1",NA,1
"PET","DOG","454782","Wilko Best Dog Food Chicken Selection in Sauce","Wilko Best","14.2CM","9.9CM","9.5CM","Pouches","6x100g",NA,"6",NA,1
"PET","DOG","427990","Winalot Dry Dog Food Beef 800g","Winalot","25.6CM","19.5CM","5.7CM","Boxed Food","800g",NA,"1",NA,1
"PET","DOG","427991","Winalot Dry Dog Food Beef and Vegetables 2.5kg","Winalot","38.4CM","18.5CM","13.2CM","Small Bagged Food","2.5kg",NA,"1",NA,1
"PET","DOG","436238","Winalot Perfect Portions Pouch Dog Food12 x 100g","Winalot","14.5CM","19.7CM","9.9CM","Pouches","12x100g",NA,"12",NA,1
"PET","DOG","436239","Winalot Pouch Dog Food Chicken and Beef 4 x 100g","Winalot","14.0CM","19.0CM","4.0CM","Pouches","4x100g",NA,"4",NA,1
"PET","DOG","453843","Winalot Perfect Portions Dog Food Multipack12x100g","Winalot","14.5CM","19.7CM","9.9CM","Tinned","12x100g",NA,"12",NA,1
"PET","DOG","453844","Winalot Perfect Portions Dog Food Pouch Beef andChicken 4 x 100g","Winalot","13.0CM","18.0CM","3.7CM","Tinned","4x100g",NA,"4",NA,1
"PET","DOG","453849","Winalot Adult Dog Food Turkey 2.5kg","Winalot","27.6CM","21.1CM","10.8CM","Small Bagged Food","10.8cm x 21.1cm x 27.6cm",NA,"1",NA,1
"PET","DOM","421496","Aquarian Tropical Flake Fish Food 25g","Aquarian","5.0CM","9.0CM","9.0CM","Food","25g",NA,"1","N/A",1
"PET","DOM","452937","Aquarian Holiday Feeding Block","Aquarian","16.6CM","3.0CM","8.5CM","Food","28g",NA,"1","N/A",1
"PET","DOM","453100","Rosewood Foraging Pineapple Small","Rosewood","14.0CM","6.0CM","6.0CM","Treats","Small",NA,"1",NA,1
"PET","DOM","221196","Trill Budgie Seed 500g","Trill","17.7CM","12.8CM","3.3CM","Food","500g",NA,"1",NA,1
"PET","DOM","183388","Wilko Parrots and Cockatiels Nut Treats 2pk","Wilko","26.4CM","8.7CM","4.1CM","Treats","90g",NA,"2",NA,1
"PET","DOM","303730","Wilko Caged Bird Coop Cup Large","Wilko","5.0CM","7.5CM","10.5CM","Cage Accessories","Large",NA,"1",NA,1
"PET","DOM","303731","Wilko Parrot Seed 1.5kg","Wilko","36.0CM","19.5CM","5.0CM","Food","1.5kg",NA,"1",NA,1
"PET","DOM","418581","Wilko Pond Pellets 1kg","Wilko","24.0CM","15.0CM","9.0CM","Food",NA,NA,NA,NA,1
"PET","DOM","418582","Wilko Pond Variety Sticks 1kg","Wilko","24.0CM","15.0CM","9.0CM","Food",NA,NA,NA,NA,1
"PET","DOM","422772","Wilko Turtle Water Conditioner 118ml","Wilko","13.0CM","5.0CM","4.5CM","Water Conditioner",NA,NA,NA,NA,1
"PET","DOM","450772","Wilko Aviary Mix for Caged Birds 12.75kg","Wilko","7.5CM","36.0CM","6.7CM","Food","12.75kg",NA,"1",NA,1
"PET","DOM","450773","Wilko Conditioning Mix for Caged Birds 900g","Wilko","21.5CM","13.0CM","7.0CM","Food","900g",NA,"1",NA,1
"PET","DOM","450774","Wilko Finch Mix for Caged Birds 1kg","Wilko","21.5CM","13.0CM","7.0CM","Food","1kg",NA,"1",NA,1
"PET","DOM","452939","Wilko Tap Water Conditioner For Fish237ml","Wilko","17.2CM","4.9CM","4.9CM","Cleaning and Water Control","237ml",NA,"1","N/A",1
"PET","DOM","453205","Wilko Bird Toys 3pk","Wilko","2.5CM","10.0CM","24.0CM","Toys","24cm x 10cm x 2.5cm",NA,"1",NA,1
"PET","DOM","70477","Wilko Caged Bird Sand Sheets 5pk 28 x 43cm","Wilko","43.2CM","29.5CM",".3CM","Sandsheets","43x28cm",NA,"5",NA,1
"PET","DOM","76333","Wilko Caged Bird Sand 1kg","Wilko","24.0CM","12.0CM","3.5CM","Grit and Sand","1kg",NA,"1",NA,1
"PET","DOM","80395","Wilko Turtle and Terrapin Complete Food 20g","Wilko","4.6CM","7.0CM","7.0CM","Food",NA,NA,NA,NA,1
"PET","DOM","80620","Wilko Budgie Treats Honey 2pk","Wilko","20.2CM","6.4CM","2.8CM","Treats","55g",NA,"2",NA,1
"PET","DOM","80621","Wilko Canary Treats Honey 2pk","Wilko","20.2CM","6.4CM","2.8CM","Treats","55g",NA,"2",NA,1
"PET","GEN","255842","Flexi Cord Retractable Leash Standard Small5m/16ft Assorted","Flexi","19.0CM","15.7CM","3.4CM","Dog Leads","5m","Multi","1",NA,1
"PET","GEN","64424","Vitapet Dog Conditioner 150ml","Vitapet","16.7CM","6.5CM","3.7CM","Shampoo and Conditioner",NA,NA,NA,NA,1
"PET","GEN","210643","Wilko Training Pads 8pk","Wilko","34.0CM","19.5CM","4.0CM","Training Aids","54.5cmx60cm",NA,"8",NA,1
"PET","GEN","249967","Wilko Puppy Training Pads 30pk","Wilko","19.0CM","21.0CM","15.3CM","Training Aids","54.5cmx60cm",NA,"30",NA,1
"PET","GEN","439373","Wilko Soft Protection Dog Harness Xtra Small","Wilko","18.0CM","12.5CM","2.5CM","Dog Harness and Seat Belts","X Small","Multi","1",NA,1
"PET","GEN","439374","Wilko Soft Protection Dog Harness Small","Wilko","20.0CM","13.0CM","3.0CM","Dog Harness and Seat Belts","Small","Multi","1",NA,1
"PET","GEN","439375","Wilko Soft Protection Dog Harness Medium","Wilko","22.0CM","15.0CM","3.5CM","Dog Harness and Seat Belts","Medium","Multi","1",NA,1
"PET","GEN","439389","Wilko Gnaw a Bone Dog Toy Medium","Wilko","15.5CM","6.0CM","3.0CM","Dental and Chew Toys","3cm x 16cm","Yellow","1",NA,1
"PET","GEN","439402","Wilko Giant Rope Tug 1m Dog Toy","Wilko","70.0CM","3.0CM","3.0CM","Rope and Tug Toys","1m","Multi","1",NA,1
"PET","GEN","439405","Wilko Puppy Shampoo","Wilko","19.8CM","5.0CM","5.0CM","Shampoo and Conditioner","250ml",NA,"1",NA,1
"PET","GEN","439409","Wilko Flea Shampoo","Wilko","19.8CM","5.0CM","5.0CM","Shampoo and Conditioner","250ml",NA,"1",NA,1
"PET","GEN","453816","Wilko Fipronil Small Dog Spot On 3 Tube","Wilko","14.0CM","8.5CM","2.0CM","Flea and Worming Control","3pk",NA,"1",NA,1
"PET","GEN","453817","Wilko Medium Dog Spot On 3pk","Wilko","14.0CM","8.5CM","2.0CM","Flea and Worming Control","3pk",NA,"1",NA,1
"PET","GEN","453818","Wilko Large Dog Spot On 3pk","Wilko","14.0CM","8.5CM","2.0CM","Flea and Worming Control","3pk",NA,"1",NA,1
"PET","GEN","453820","Wilko Dog Spot On Flea Repellent 2 Tubes","Wilko","18.5CM","10.0CM","1.8CM","Flea and Worming Control","2pk",NA,"1",NA,1
"PET","GEN","454197","Wilko Tough Squeaky Plush Assorted","Wilko","9.0CM","12.0CM","20.3CM","Puppy Toys","20.3cmx12cmx9cm",NA,"1",NA,1
"PET","GEN","454784","Wilko Chalkboard Dog Treat Tin","Wilko","19.5CM","14.8CM","14.8CM","Treat Tin","19.5cm x 14.8cm",NA,"1",NA,1
"PET","GEN","454956","Wilko Insecticidal Dog Flea Shampoo 250ml","Wilko","18.3CM","8.2CM","4.0CM","Shampoo and Conditioner","250ml",NA,"1",NA,1
"PET","GEN","455418","Wilko Moppy Balls","Wilko","15.0CM","12.0CM",".0CM","Character Toys","Moppy Ball - 14cm x 14cm x 12cm",NA,"1",NA,1
"PET","GEN","9506240","Wilko Vinyl Pet Flea and Tick Collar","Wilko","18.5CM","10.0CM","1.4CM","Flea Collar","From 12 weeks","Black","1",NA,1
"PET","LIT","335059","Curver Petlife Covered Pet Litter Tray Black","Curver","39.0CM","39.0CM","51.0CM","Litter Tray","39cmx39cmx51cm","Black","1",NA,1
"PET","SMA","405711","Harringtons Optimum Rabbit Food 2kg","Harringtons","35.5CM","20.0CM","9.0CM","Food","2kg",NA,"1",NA,1
"PET","SMA","182722","Wagg Hamster Gerbil and Mouse Food 1kg","Wagg","29.2CM","13.2CM","9.9CM","Food","1kg",NA,"1",NA,1
"PET","SMA","138283","Wilko Small Animal Disinfectant Cleaner 300ml","Wilko","26.2CM","8.8CM","4.4CM","Disinfectant Cleaner",NA,NA,NA,NA,1
"PET","SMA","149600","Wilko Small Animal Fruity Stick Treats forRabbits and Guinea Pigs 2pk","Wilko","19.2CM","7.2CM","3.5CM","Treats","50g",NA,"2",NA,1
"PET","SMA","165258","Wilko Guinea Pig Food Muesli Mix 1kg","Wilko","26.0CM","14.5CM","8.0CM","Food","1kg",NA,"1",NA,1
"PET","SMA","229832","Wilko Rabbit Food Fruity Muesli 1kg","Wilko","28.0CM","14.0CM","7.0CM","Food","1kg",NA,"1",NA,1
"PET","SMA","267054","Wilko Small Animal Dandelion and Greet Oat Food100g","Wilko","22.5CM","12.5CM","6.2CM","Treats","100g",NA,"1",NA,1
"PET","SMA","280986","Wilko Small Animal Meadow Hay Rolls 7pk 100g","Wilko","28.0CM","14.5CM","9.5CM","Treats","1kg",NA,"7",NA,1
"PET","SMA","284302","Wilko Small Animal Corn on the the Cob Treat 3pk","Wilko","27.2CM","13.0CM","4.0CM","Treats","Large",NA,"3",NA,1
"PET","SMA","303694","Wilko Small Animal Timothy Hay 1kg","Wilko","39.0CM","24.8CM","12.0CM","Hay","1kg",NA,"1",NA,1
"PET","SMA","417682","Wilko Small Animal Edible Treat and Gnaw LogSmall 2pk","Wilko","17.7CM","9.0CM","3.5CM","Treats","Small",NA,"2",NA,1
"PET","SMA","417683","Wilko Small Animal Edible Treat and Gnaw Log Large","Wilko","26.0CM","12.0CM","5.5CM","Treats","Large",NA,"1",NA,1
"PET","SMA","417686","Wilko Small Animal Treats Carrot and Herb Sticks","Wilko","16.0CM","7.0CM","4.0CM","Treats","140g",NA,"1",NA,1
"PET","SMA","417690","Wilko Small Animal Soft n Safe Bedding 20g","Wilko","27.0CM","16.0CM","3.5CM","Bedding",NA,NA,NA,NA,1
"PET","SMA","417703","Wilko Small Animal Carrot and Hay Cottage Medium","Wilko","18.0CM","27.5CM","20.0CM","Treats","Medium",NA,"1",NA,1
"PET","SMA","418587","Wilko Small Animal Rabbit Nugget 1.25kg","Wilko","30.0CM","19.0CM","12.0CM","Food","1.25kg",NA,"1pk",NA,1
"PET","SMA","418589","Wilko Small Animal Treats Fruity Crunch 100g","Wilko","19.0CM","11.0CM","3.0CM","Treats","100g",NA,"1pk",NA,1
"PET","SMA","418776","Wilko Small Animal Treats Chocolate Drops","Wilko","16.0CM","10.0CM","4.5CM","Treats","75g",NA,"1",NA,1
"PET","SMA","418779","Wilko Small Animal Treats Berry Drop","Wilko","16.0CM","10.0CM","4.5CM","Treats","75g",NA,"1",NA,1
"PET","SMA","437013","Wilko Small Animal Carrot and Hay Cottage Large","Wilko","24.0CM","37.0CM","25.0CM","Treats","Large",NA,"1",NA,1
"PET","SMA","437133","Wilko Small Animal Rabbit Nugget Summer Berries1.25kg","Wilko","32.0CM","19.0CM","11.0CM","Food","1.25kg",NA,"1",NA,1
"PET","SMA","451242","Wilko Carrot Feeding Bowl","Wilko","3.8CM","11.2CM","11.2CM","Bowl",NA,NA,NA,NA,1
"PET","SMA","452699","Wilko Garden Herb/Apple Cushions 50g","Wilko","16.5CM","10.0CM","2.0CM","Treats","50g",NA,"1",NA,1
"PET","SMA","56237","Wilko Wood Shavings for Small Animal","Wilko","11.0CM","29.0CM","9.6CM","Bedding",NA,NA,NA,NA,1
"PET","SMA","70465","Wilko Harvest Straw for Small Animal","Wilko","47.0CM","23.5CM","13.0CM","Bedding",NA,NA,NA,NA,1
"PET","SMA","70466","Wilko Meadow Hay for Small Animal","Wilko","46.5CM","23.7CM","11.0CM","Bedding",NA,NA,NA,NA,1
"PET","SMA","80089","Wilko Wood Shavings for Small Animals","Wilko","38.5CM","29.0CM","13.0CM","Bedding",NA,NA,NA,NA,1
"PET","SMA","94067","Wilko Rabbit Food Muesli Fibre Feast 2kg","Wilko","27.0CM","18.9CM","9.9CM","Food","2kg",NA,"1",NA,1
"PET","TRT","245726","Bakers Dog Treats Whirlers 150g","Bakers","22.5CM","14.0CM","5.6CM","Chews","150g",NA,"1",NA,1
"PET","TRT","258070","Bakers Dog Treats Chicken Dental Sticks 7pk","Bakers","21.8CM","14.0CM","5.6CM","Dental Care Treats","230g",NA,"7",NA,1
"PET","TRT","303701","Bakers Dog Treat Dental Delicious Large 270g","Bakers","21.8CM","15.2CM","6.5CM","Dental Care Treats","Large",NA,"7pk",NA,1
"PET","TRT","316266","Bakers Dog Treats Chicken Joint for Medium Dogs 7x 180g","Bakers","20.0CM","15.7CM","4.2CM","Joint Care Treats","180g",NA,"7",NA,1
"PET","TRT","316267","Bakers Dog Treats Joint Delicious Chicken forLarge Dogs 7pk 240g","Bakers","22.5CM","15.5CM","5.0CM","Joint Care Treats","240g",NA,"7",NA,1
"PET","TRT","346555","Bakers Dog Treats Mini Steaks 150g","Bakers","18.0CM","13.9CM","5.0CM","Training and Reward Treats","150g",NA,"1",NA,1
"PET","TRT","450193","Bakers Dog Food Meaty Cuts Chicken 70g","Bakers","18.2CM","11.9CM","3.8CM","Meaty Treats","70g",NA,"1",NA,1
"PET","TRT","338822","Bonio Dog Treat Biscuits 375g","Bonio","15.2CM","15.5CM","6.4CM","Biscuits","375g",NA,"1",NA,1
"PET","TRT","278057","Good Boy Pigs Ears 2pk","Good Boy","26.0CM","18.6CM","4.0CM","Pigs Ears","2 x Whole Pigs Ears",NA,"2",NA,1
"PET","TRT","303706","Misfits Dog Treats Nasher Sticks Chicken and Beef7pk","Misfits","22.0CM","9.0CM","4.0CM","Dental Care Treats","175g",NA,"7",NA,1
"PET","TRT","303707","Misfits Dog Treats Chomp Treats for Adult Dogs 2pk","Misfits","19.5CM","8.9CM","3.5CM","Chews","2Pk",NA,"2",NA,1
"PET","TRT","333147","Misfits Dog Treats Tangly Twists Chicken and Egg140g","Misfits","19.0CM","9.5CM","3.5CM","Chews","140g",NA,"7",NA,1
"PET","TRT","121969","Pedigree Schmackos Dog Treats with Chicken 20pk","Pedigree","19.7CM","13.5CM","2.5CM","Meaty Treats","172g",NA,"20",NA,1
"PET","TRT","149969","Pedigree Jumbone Dog Treat  210g","Pedigree","6.0CM","22.5CM","5.0CM","Chews","210g",NA,"1",NA,1
"PET","TRT","167166","Pedigree Dog Treats Gravy Bones 400g","Pedigree","21.1CM","12.6CM","5.0CM","Biscuits","400g",NA,"1",NA,1
"PET","TRT","189389","Pedigree Dog Treat Daily Dentastix Medium","Pedigree","16.6CM","10.0CM","2.4CM","Dental Care Treats","Medium",NA,"7pk",NA,1
"PET","TRT","189393","Pedigree Puppy Treats Tubos with Chicken 3pk 72g","Pedigree","18.0CM","6.3CM","2.0CM","Puppy Treats","72g",NA,"3pk",NA,1
"PET","TRT","243655","Pedigree Dentastix Dog Treats Small 28pk","Pedigree","16.2CM","13.9CM","9.1CM","Dental Care Treats","Small",NA,"28pk",NA,1
"PET","TRT","243663","Pedigree Dentastix Dog Treats Medium 28pk","Pedigree","19.6CM","13.6CM","9.4CM","Dental Care Treats","Medium",NA,"28pk",NA,1
"PET","TRT","243664","Pedigree Dentastix Dog Treat Daily Oral CareLarge Dog","Pedigree","16.6CM","10.0CM","2.4CM","Dental Care Treats","Large",NA,"7pk",NA,1
"PET","TRT","247880","Pedigree Jumbone Dog Treats Chicken and TurkeyMedium 2pk","Pedigree","7.5CM","15.5CM","3.5CM","Chews","200g",NA,"2",NA,1
"PET","TRT","255875","Pedigree Dentastix Dog Treats for Large Dogs 28pk","Pedigree","22.0CM","16.0CM","10.0CM","Dental Care Treats","Large",NA,"1",NA,1
"PET","TRT","282947","Pedigree Jumbone Dog Treats  4pk","Pedigree","14.1CM","11.9CM","2.9CM","Chews","180g",NA,"4",NA,1
"PET","TRT","303705","Pedigree Dog Treats Markies Minis 500g","Pedigree","21.0CM","12.6CM","5.0CM","Biscuits","500g",NA,"1",NA,1
"PET","TRT","336148","Pedigree Dentastix Dog Treat Fresh Daily OralCare Large Dog","Pedigree","22.0CM","16.0CM","10.0CM","Dental Care Treats","Large",NA,"28pk",NA,1
"PET","TRT","336149","Pedigree Dentastix Dog Treat Fresh Daily OralCare Medium Dog","Pedigree","19.6CM","13.3CM","9.4CM","Dental Care Treats","Medium",NA,"28pk",NA,1
"PET","TRT","336150","Pedigree Dentastix Dog Treat Fresh Daily OralCare Small Dog","Pedigree","16.2CM","13.9CM","9.1CM","Dental Care Treats","Small",NA,"28pk",NA,1
"PET","TRT","336151","Pedigree Dentafresh Dog Treats Large Dog 7pk","Pedigree","16.6CM","10.0CM","2.4CM","Dental Care Treats","Large",NA,"7pk",NA,1
"PET","TRT","336152","Pedigree Dentafresh Dog Treats Medium Dog 7pk","Pedigree","16.6CM","10.0CM","2.4CM","Dental Care Treats","Medium",NA,"7pk",NA,1
"PET","TRT","336153","Pedigree Dentafresh Dog Treats Small Dog 7pk","Pedigree","17.5CM","10.0CM","3.0CM","Dental Care Treats","Small",NA,"7pk",NA,1
"PET","TRT","405667","Pedigree Tasty Bites Dog Treats Chewy Cubes withChicken 130g","Pedigree","19.0CM","13.5CM","4.0CM","Training and Reward Treats","130g",NA,"130",NA,1
"PET","TRT","405668","Pedigree Tasty Bites Dog Treats Chewy Slices withBeef 150g","Pedigree","19.0CM","13.5CM","4.0CM","Training and Reward Treats","150g",NA,"15",NA,1
"PET","TRT","438772","Pedigree Tasty Bites Puppy with Chicken 125g","Pedigree","19.0CM","13.5CM","4.0CM","Treats","125g",NA,"1",NA,1
"PET","TRT","56164","Pedigree Markies Dog Treat Original 500g","Pedigree","21.1CM","12.6CM","5.0CM","Biscuits","500g",NA,"1",NA,1
"PET","TRT","453237","Rosewood Magic Bone Chicken Mini Bones 7pk","Rosewood","17.8CM","3.0CM","13.3CM","Training and Reward Treats","Small",NA,"7",NA,1
"PET","TRT","453238","Rosewood Magic Bone Chicken Medium Bone 2pk","Rosewood","24.5CM","3.0CM","13.5CM","Training and Reward Treats","Medium",NA,"2",NA,1
"PET","TRT","453239","Rosewood Magic Bone Chicken Mega Bone","Rosewood","28.0CM","3.0CM","12.0CM","Chews","12cm x 3cm x 28cm",NA,"1",NA,1
"PET","TRT","454022","Scooby Doo Activity Ball","Scooby Doo","15.0CM","8.0CM","8.0CM","Treat Toys","Small",NA,"1",NA,1
"PET","TRT","453247","Wagg Low Fat Dog Treats 125g","Wagg","19.0CM","13.5CM","5.4CM","Training and Reward Treats","125g",NA,"1",NA,1
"PET","TRT","453248","Wagg Tasty Bones Dog Treats 150g","Wagg","19.0CM","13.5CM","5.4CM","Training and Reward Treats","150kg",NA,"1",NA,1
"PET","TRT","453249","Wagg Dog Training Treats 125g","Wagg","19.0CM","13.5CM","5.4CM","Training and Reward Treats","125g",NA,"1",NA,1
"PET","TRT","453250","Wagg Tasty Chunks Dog Treats 150g","Wagg","19.0CM","13.5CM","5.4CM","Training and Reward Treats","150g",NA,"1",NA,1
"PET","TRT","182771","Webbox Dog Treats Liver Sizzlers 150g","Webbox","18.5CM","14.0CM","3.4CM","Training and Reward Treats","150g",NA,"1",NA,1
"PET","TRT","138262","Wilko Dog Treats Chewy Chips Bacon 5pk","Wilko","24.0CM","14.2CM","4.2CM","Hide Chews","5 Pk",NA,"5",NA,1
"PET","TRT","149697","Wilko Dog Treats Chewy Chips Beef 5pk","Wilko","24.0CM","14.2CM","4.2CM","Hide Chews","5 Pk",NA,"5",NA,1
"PET","TRT","149698","Wilko Dog Treats Chewy Chips Chicken 5pk","Wilko","24.0CM","14.2CM","4.2CM","Hide Chews","5Pk",NA,"5",NA,1
"PET","TRT","166178","Wilko Dog Treats Chewy Beef Flavour 20pk","Wilko","19.0CM","11.2CM","3.2CM","Chews","180g",NA,"20",NA,1
"PET","TRT","166179","Wilko Dog Treats Chewy Chicken Flavour 20pk","Wilko","19.0CM","11.2CM","3.2CM","Chews","180g",NA,"20",NA,1
"PET","TRT","225413","Wilko Dog Treats Meaty Sticks Chicken 15pk","Wilko","17.0CM","10.5CM",".6CM","Meaty Treats","108g",NA,"15",NA,1
"PET","TRT","228587","Wilko Dog Treats Dental Sticks 7pk","Wilko","19.5CM","9.0CM","4.0CM","Dental Care Treats","182g",NA,"7",NA,1
"PET","TRT","228589","Wilko Dog Treats Chewy Log Bone 2pk","Wilko","6.4CM","18.6CM","2.6CM","Dental Care Treats","100g",NA,"2pk",NA,1
"PET","TRT","254743","Wilko Dog Treats Chewy Log Small 4pk","Wilko","17.0CM","8.7CM","2.7CM","Dental Care Treats","180g",NA,"4",NA,1
"PET","TRT","265842","Wilko Dog Treats Chewy Dental Stick  28pk","Wilko","15.6CM","13.3CM","8.4CM","Dental Care Treats","728g",NA,"28",NA,1
"PET","TRT","267006","Wilko Dog Treats Biscuit Gravy Bones 400g","Wilko","20.0CM","13.6CM","5.0CM","Biscuits","400g",NA,"1",NA,1
"PET","TRT","290450","Wilko Dog Treats Dental Sticks 7pk","Wilko","16.7CM","6.0CM","2.7CM","Dental Care Treats","Small",NA,"7pk",NA,1
"PET","TRT","303711","Wilko Dog Treats Beef for Adult Dogs 7pk","Wilko","18.5CM","14.0CM","1.2CM","Meaty Treats","7x11g",NA,"7",NA,1
"PET","TRT","303712","Wilko Dog Treats Crunchy Tripe Stick 10pk","Wilko","18.0CM","8.0CM","2.0CM","Munchy Treats","60g",NA,"10",NA,1
"PET","TRT","303718","Wilko Dog Treats Hotdog Sausages 4pk","Wilko","3.5CM","17.5CM","4.5CM","Meaty Treats","220g",NA,"1",NA,1
"PET","TRT","330117","Wilko Dog Treats Dental Chewy Sticks 7pk","Wilko","17.0CM","9.0CM","3.5CM","Dental Care Treats","Large",NA,"7pk",NA,1
"PET","TRT","348911","Wilko Dog Treats Mini Dental Stick 170g","Wilko","15.7CM","16.3CM","3.2CM","Dental Care Treats","170g",NA,"1",NA,1
"PET","TRT","410492","Wilko Dog Treat Fruit Flavour Log Bone 80g","Wilko","18.0CM","3.5CM","2.0CM","Chews","80g",NA,"1",NA,1
"PET","TRT","410515","Wilko Dog Treats Marrowbone Rolls 500g","Wilko","19.9CM","13.5CM","5.0CM","Biscuits","500g",NA,"1",NA,1
"PET","TRT","410997","Wilko Dog Treat Chicken Flavoured Sterilised Bone","Wilko","4.0CM","4.5CM","10.0CM","Bones","1",NA,"1",NA,1
