"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Assembly","Washable","Power","Capacity","Coverage","DQ Score"
"HOM","BED","424599","Wilko Fitted Sheet Brushed Cotton King Size Cream","Wilko",NA,NA,"1","100% Brushed Cotton",NA,NA,NA,NA,NA,0.85
"HOM","BED","424600","Wilko Housewife Pillowcase Brushed Cotton Cream2pk","Wilko",NA,NA,"1","100% Brushed Cotton",NA,NA,NA,NA,NA,0.85
"HOM","BED","424604","Wilko Brushed Cotton Housewife Pillowcase Pink2pk","Wilko",NA,NA,"1","100% Brushed Cotton",NA,NA,NA,NA,NA,0.85
"HOM","BED","424607","Wilko Brushed Cotton Fitted Sheet King Size Blue","Wilko",NA,NA,"1","100% Brushed Cotton",NA,NA,NA,NA,NA,0.85
"HOM","BED","424609","Wilko Best Fitted Sheet Single White","Wilko",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75
"HOM","BED","424610","Wilko Best Flat Sheet Single White","Wilko",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75
"HOM","BED","424611","Wilko Best Valance Single White","Wilko",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75
"HOM","BED","424612","Wilko Best Fitted Sheet Single Cream","Wilko",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75
"HOM","BED","424613","Wilko Best Flat Sheet Single Cream","Wilko",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75
"HOM","BED","424614","Wilko Best Valanced  Single Cream","Wilko",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75
"HOM","BED","426429","Wilko Oxford Pillowcases White 2pk","Wilko",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75
"HOM","BED","426430","Wilko Oxford Pillowcase Cream 2pk","Wilko",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75
"HOM","BED","426431","Wilko Oxford Pillowcases Black 2pk","Wilko",NA,NA,"1",NA,NA,NA,NA,NA,NA,0.8
"HOM","BED","426432","Wilko Valance Single Duck Egg","Wilko",NA,NA,"1",NA,NA,NA,NA,NA,NA,0.8
"HOM","BED","426433","Wilko Valance Double Duck Egg","Wilko",NA,NA,"1",NA,NA,NA,NA,NA,NA,0.8
"HOM","BED","426434","Wilko Valance King Size Duck Egg","Wilko",NA,NA,"1",NA,NA,NA,NA,NA,NA,0.8
"HOM","BED","326845","Wilko Best Fitted Sheet Super King Size White","Wilko Best","Super Kingsize","White",NA,"100% Cotton",NA,"Washable",NA,NA,NA,0.95
"HOM","BED","326846","Wilko Best Fitted Sheet King Size White","Wilko Best","Kingsize","White",NA,"100% Cotton",NA,"Washable",NA,NA,NA,0.95
"HOM","BED","326847","Wilko Best Fitted Sheet Double White","Wilko Best","Double","White",NA,"100% Cotton",NA,"Washable",NA,NA,NA,0.95
"HOM","BED","326848","Wilko Best Flat Sheet Super King Size White","Wilko Best","Super Kingsize","White",NA,"100% Cotton",NA,"Washable",NA,NA,NA,0.95
"HOM","BED","326849","Wilko Best Flat Sheet King Size White","Wilko Best","Kingsize","White","1","100% Cotton",NA,"Washable",NA,NA,NA,1
"HOM","BED","326850","Wilko Best Flat Sheet Double White","Wilko Best","Double","White",NA,"100% Cotton",NA,"Washable",NA,NA,NA,0.95
"HOM","BED","326851","Wilko Best Valance Super King Size White","Wilko Best","Super Kingsize","White","1","100% Cotton",NA,"Washable",NA,NA,NA,1
"HOM","BED","326852","Wilko Best Valance  King Size White","Wilko Best","Kingsize","White","1","100% Cotton",NA,"Washable",NA,NA,NA,1
"HOM","BED","326853","Wilko Best Valance Double White","Wilko Best","Double","White",NA,"100% Cotton",NA,"Washable",NA,NA,NA,0.95
"HOM","BED","326854","Wilko Best Sateen Oxford Pillowcase White","Wilko Best","75x50cm","White","1","100% Cotton",NA,"Washable",NA,NA,NA,1
"HOM","BED","326857","Wilko Best Fitted Sheet Super King Size Cream","Wilko Best","Super Kingsize","Cream",NA,"100% Cotton",NA,"Washable",NA,NA,NA,0.95
"HOM","BED","326858","Wilko Best Fitted Sheet King Size Cream","Wilko Best","Kingsize","Cream",NA,"100% Cotton",NA,"Washable",NA,NA,NA,0.95
"HOM","BED","326859","Wilko Best Fitted Sheet Double Cream","Wilko Best","Double","Cream","1","100% Cotton",NA,"Washable",NA,NA,NA,1
"HOM","BED","326860","Wilko Best Flat Sheet Super King Size Cream","Wilko Best","Super Kingsize","Cream","1","100% Cotton",NA,"Washable",NA,NA,NA,1
"HOM","BED","326861","Wilko Best Flat Sheet King Size Cream","Wilko Best","Kingsize","Cream","1","100% Cotton",NA,"Washable",NA,NA,NA,1
"HOM","BED","326862","Wilko Best Flat Sheet Double Cream","Wilko Best","Double","Cream",NA,"100% Cotton",NA,"Washable",NA,NA,NA,0.95
"HOM","BED","326863","Wilko Best Valance Super King Size Cream","Wilko Best","Super Kingsize","Cream",NA,"100% Cotton",NA,"Washable",NA,NA,NA,0.95
"HOM","BED","326864","Wilko Best Valance  King Size Cream","Wilko Best","Kingsize","White",NA,"100% Cotton",NA,"Washable",NA,NA,NA,0.95
