"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Assembly","Power","Capacity","Age","Model Number","DQ Score"
"TOI","COL","312511","Collection Luscious Lashes Natural Length","Collection 2000","2g","Cream","1",NA,NA,NA,NA,NA,NA,0.95
"TOI","COL","337376","Collection Nail Polish 3 Vixen Red 12ml","Collection 2000","12ml","Red",NA,NA,NA,NA,NA,NA,NA,0.775
"TOI","COL","337378","Collection Nail Polish 5 Coral Reef 12ml","Collection 2000","12ml","Orange","1",NA,NA,NA,NA,NA,NA,0.81875
"TOI","COL","337380","Collection Nail Polish 7 Rasberry 12ml","Collection 2000","12ml","Red","1",NA,NA,NA,NA,NA,NA,0.81875
"TOI","COL","337382","Collection Nail Polish 9 Chiffon Haze 12ml","Collection 2000","12ml","Cream","1",NA,NA,NA,NA,NA,NA,0.81875
"TOI","COL","337383","Collection Nail Polish 10 Almost Nude 12ml","Collection 2000","12ml","Cream","1",NA,NA,NA,NA,NA,NA,0.81875
"TOI","COL","337388","Collection Pencil 1 Vanilla Sky 3.5G","Collection 2000","3.5g","Cream","1",NA,NA,NA,NA,NA,NA,0.81875
"TOI","COL","337390","Collection Pencil 3 Vintage Blush 3.5G","Collection 2000","3.5g","Pink","1",NA,NA,NA,NA,NA,NA,0.81875
"TOI","COL","347334","Collection Mascara 17 Ultra Black 8ml","Collection 2000","8ml","Black","1",NA,NA,NA,NA,NA,NA,0.81875
"TOI","COL","347342","Collection Mascara 17 Ultra Black Waterproof 8ml","Collection 2000","8ml","Black","1",NA,NA,NA,NA,NA,NA,0.81875
"TOI","COL","347347","Collection Foundation Porcelain 30ml","Collection 2000","30ml","Cream","1",NA,NA,NA,NA,NA,NA,0.81875
"TOI","COL","347353","Collection Foundation 2 Ivory 30ml","Collection 2000","30ml","Cream","1",NA,NA,NA,NA,NA,NA,0.81875
"TOI","COL","347354","Collection  Foundation Cool Beige 30ml","Collection 2000","30ml","Cream","1",NA,NA,NA,NA,NA,NA,0.81875
"TOI","COL","347355","Collection  Foundation Warm Beige 30ml","Collection 2000","30ml","Cream","1",NA,NA,NA,NA,NA,NA,0.81875
"TOI","COL","347360","Collection Concealer 1 Fair 6.5g","Collection 2000","6.5g","Cream","1",NA,NA,NA,NA,NA,NA,0.81875
"TOI","COL","347361","Collection Concealer 2 Cool Med 6.5g","Collection 2000","6.5g","Cream","1",NA,NA,NA,NA,NA,NA,0.81875
"TOI","COL","347445","Collection Concealer 3 Warm Medium 6.5g","Collection 2000","6.5","Cream","1",NA,NA,NA,NA,NA,NA,0.81875
"TOI","COL","347446","Collection  Powders 1 Fair 9g","Collection 2000","9g","Cream","1",NA,NA,NA,NA,NA,NA,0.81875
