"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Assembly","Washable","Power","Capacity","Coverage","Model Number","DQ Score"
"HOM","BAT","310708","Wilko 4 Tier Storage Unit White","Wilko","Single","White","1",NA,NA,NA,NA,NA,NA,NA,0.9
"HOM","BAT","310718","Wilko Glass Corner Shelves 2pk","Wilko","Single","Clear","1",NA,NA,NA,NA,NA,NA,NA,0.941666666666667
"HOM","BAT","310720","Wilko Bath Rack Chrome Plated","Wilko","Single","Metal","1",NA,NA,NA,NA,NA,NA,NA,0.9
"HOM","BAT","310721","Wilko Toilet Roll Holder Clear Jewel Chrome Effect","Wilko","Single","Metal","1",NA,NA,NA,NA,NA,NA,NA,1
"HOM","BAT","311390","Wilko Light Pull Crystal Effect","Wilko","Single","Clear","1",NA,NA,NA,NA,NA,NA,NA,1
"HOM","BAT","327181","Wilko Toilet Brush and Holder White Dome","Wilko",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"HOM","BAT","327185","Wilko Dome Pedal Bin White 3L","Wilko","Single","White","1",NA,NA,NA,NA,NA,NA,NA,1
"HOM","BAT","327204","Wilko Freestanding Toilet Roll Holder","Wilko","Single",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.93
"HOM","BAT","327210","Wilko Butterfly Shower Curtain","Wilko","180cm x 180cm","White",NA,NA,NA,NA,NA,NA,"Painted Paper",NA,1
"HOM","BAT","327295","Wilko Pedestal Set Black Stripe 50 x 70cm and50 x 50cm","Wilko","61.3x51.1cm","Black","1",NA,NA,NA,NA,NA,NA,NA,1
"HOM","BAT","327297","Wilko Pedestal Set Green Stripe 50 x 70cm and50 x 50cm","Wilko","58.5x47.5cm","Green",NA,NA,NA,"Washable",NA,NA,NA,NA,0.941666666666667
"HOM","BAT","327298","Wilko Pedestal Set Neutral Stripe 50 x 70cm and50 x 50cm","Wilko","58.5x47.5cm","Cream",NA,NA,NA,"Washable",NA,NA,NA,NA,0.941666666666667
"HOM","BAT","327299","Wilko Pedestal Set Blue Stripe 50 x 70cm and50 x 50cm","Wilko","59x51.5cm","Blue","1",NA,NA,NA,NA,NA,NA,NA,1
"HOM","BAT","327638","Wilko Silver Mosaic Soak Word Plaque","Wilko","Single","Silver","1",NA,NA,NA,NA,NA,NA,NA,1
"HOM","BAT","327640","Wilko Mosaic Soap Dispenser Silver","Wilko","Single","Silver","1",NA,NA,NA,NA,NA,NA,NA,1
"HOM","BAT","327641","Wilko Mosaic Tumbler Silver","Wilko","Single","Silver","1",NA,NA,NA,NA,NA,NA,NA,1
"HOM","BAT","327642","Wilko Silver Mosaic Mirror","Wilko","Single",NA,"1",NA,NA,NA,NA,NA,NA,NA,1
"HOM","BAT","327643","Wilko Freestanding Mirror Small","Wilko","Single",NA,"1",NA,NA,NA,NA,NA,NA,NA,1
"HOM","BAT","327644","Wilko Freestanding Mirror Large","Wilko","Single",NA,"1",NA,NA,NA,NA,NA,NA,NA,1
"HOM","BAT","327650","Wilko Freestanding Mirror Wooden","Wilko","Single",NA,"1",NA,NA,NA,NA,NA,NA,NA,1
"HOM","BAT","327652","Wilko Pop Up Laundry Bin Striped","Wilko","Single","Blue","1",NA,NA,NA,NA,NA,NA,NA,1
"HOM","BAT","327701","Wilko Small Caddy Black","Wilko","Small","Black","1",NA,NA,NA,NA,NA,NA,NA,0.9
"HOM","BAT","327702","Wilko Large Caddy Black","Wilko","Large","Black","1",NA,NA,NA,NA,NA,NA,NA,0.9
"HOM","BAT","327710","Wilko Rush Laundry Hamper Rectangular","Wilko","Single","Cream","1",NA,NA,NA,NA,NA,NA,NA,1
