"PSA_1","PSA_2","Article","Web Description","Brand","DQ Score"
"HOM","FUR","448028","Marbella 5 Drawer Chest Of Drawers White","Other",0.891666666666667
"HOM","FUR","448029","Marbella 6 Drawer Midi Chest Of Drawers White","Other",0.891666666666667
"HOM","FUR","448030","Marbella Blanket Box White","Other",0.85
"HOM","FUR","448031","Marbella Childs Wardrobe White","Other",0.891666666666667
"HOM","FUR","448032","Marbella 6 Drawer Kneehole Vanity White","Other",0.891666666666667
"HOM","FUR","448033","Marbella Large Mirror White","Other",0.88
"HOM","FUR","448034","Marbella Sliding Wardrobe White","Other",0.891666666666667
"HOM","FUR","448035","Marbella Small Mirror White","Other",0.88
"HOM","FUR","448036","Marbella Stool White","Other",0.891666666666667
"HOM","FUR","448037","Marbella 3 Drawer Vanity White","Other",0.891666666666667
"HOM","FUR","448038","Cadiz 2 Drawer Bedside Cabinet White","Other",0.891666666666667
"HOM","FUR","448039","Cadiz 2 Door 2 Drawer Wardrobe White","Other",0.891666666666667
"HOM","FUR","448040","Cadiz 2 Door Midi Wardrobe White","Other",0.891666666666667
"HOM","FUR","448041","Cadiz 2 Door Wardrobe White","Other",0.891666666666667
"HOM","FUR","448042","Cadiz 3 Drawer Chest Of Drawers White","Other",0.891666666666667
"HOM","FUR","448043","Cadiz 3 Drawer Bedside Cabinet White","Other",0.891666666666667
"HOM","FUR","448044","Cadiz 4 Drawer Chest Of Drawers White","Other",0.891666666666667
"HOM","FUR","448045","Cadiz 4 Drawer Deep Chest of Drawers White","Other",0.891666666666667
"HOM","FUR","448046","Cadiz 5 Drawer Chest Of Drawers White","Other",0.891666666666667
"HOM","FUR","448047","Cadiz 6 Drawer Midi Chest Of Drawers White","Other",0.891666666666667
"HOM","FUR","448048","Cadiz Blanket Box White","Other",0.85
"HOM","FUR","448049","Cadiz 6 Drawer Kneehole Vanity White","Other",0.891666666666667
"HOM","FUR","448050","Cadiz Large Mirror White","Other",0.88
"HOM","FUR","448051","Cadiz Sliding Wardrobe White","Other",0.891666666666667
"HOM","FUR","448052","Cadiz Small Mirror White","Other",0.88
"HOM","FUR","448053","Cadiz Stool White","Other",0.891666666666667
"HOM","FUR","448054","Cadiz 3 Drawer Vanity White","Other",0.891666666666667
"HOM","FUR","448055","Altea 2 Drawer Bedside Cabinet White","Other",0.891666666666667
"HOM","FUR","448056","Altea 2 Door 2 Drawer Wardrobe White","Other",0.891666666666667
"HOM","FUR","448057","Altea 2 Door Midi Wardrobe White","Other",0.891666666666667
"HOM","FUR","448058","Altea 2 Door Wardrobe White","Other",0.891666666666667
"HOM","FUR","448059","Altea 3 Drawer Chest Of Drawers White","Other",0.891666666666667
"HOM","FUR","448060","Altea 3 Drawer Bedside Cabinet White","Other",0.891666666666667
"HOM","FUR","448061","Altea 4 Drawer Chest Of Drawers White","Other",0.891666666666667
"HOM","FUR","448062","Altea 4 Drawer Deep Chest of Drawers White","Other",0.891666666666667
"HOM","FUR","448063","Altea 5 Drawer Chest Of Drawers White","Other",0.891666666666667
"HOM","FUR","448064","Altea 6 Drawer Midi Chest Of Drawers White","Other",0.891666666666667
"HOM","FUR","448065","Altea Blanket Box White","Other",0.85
"HOM","FUR","448066","Altea Childs White Wardrobe","Other",0.891666666666667
"HOM","FUR","448067","Altea 6 Drawer Kneehole Vanity White","Other",0.891666666666667
"HOM","FUR","448068","Altea Large Mirror White","Other",0.88
"HOM","FUR","448069","Altea Sliding Wardrobe White","Other",0.891666666666667
"HOM","FUR","448070","Altea Small Mirror White","Other",0.88
"HOM","FUR","448071","Altea Stool White","Other",0.891666666666667
"HOM","FUR","448072","Altea 3 Drawer Vanity White","Other",0.891666666666667
"HOM","FUR","448073","Javea 2 Drawer Bedside Cabinet Grey","Other",0.891666666666667
"HOM","FUR","448074","Javea 2 Door 2 Drawer Wardrobe Grey","Other",0.891666666666667
"HOM","FUR","448075","Javea 2 Door Midi Wardrobe Grey","Other",0.891666666666667
"HOM","FUR","448076","Javea 2 Door Wardrobe Grey","Other",0.891666666666667
"HOM","FUR","448077","Javea 3 Drawer Chest Of Drawers Grey","Other",0.891666666666667
"HOM","FUR","448078","Javea 3 Drawer Bedside Cabinet Grey","Other",0.891666666666667
"HOM","FUR","448079","Javea 4 Drawer Chest Of Drawers Grey","Other",0.891666666666667
"HOM","FUR","448080","Javea 4 Drawer Deep Chest of Drawers Grey","Other",0.891666666666667
"HOM","FUR","448081","Javea 5 Drawer Chest Of Drawers Grey","Other",0.891666666666667
"HOM","FUR","448082","Javea 6 Drawer Midi Chest Of Drawers Grey","Other",0.891666666666667
"HOM","FUR","448083","Javea Blanket Box Grey","Other",0.85
"HOM","FUR","448084","Javea Childs Wardrobe Grey","Other",0.891666666666667
"HOM","FUR","448085","Javea 6 Drawer Kneehole Vanity Grey","Other",0.891666666666667
"HOM","FUR","448086","Javea Large Mirror Grey","Other",0.88
"HOM","FUR","448087","Javea Sliding Wardrobe Grey","Other",0.891666666666667
"HOM","FUR","448088","Javea Small Mirror Grey","Other",0.891666666666667
"HOM","FUR","448089","Javea Stool Grey","Other",0.891666666666667
"HOM","FUR","448090","Javea 3 Drawer Vanity Grey","Other",0.891666666666667
"HOM","FUR","448091","Valencia 2 Drawer Cream Bedside Cabinet","Other",0.891666666666667
"HOM","FUR","448092","Valencia 2 Door 2 Drawer Cream Wardrobe","Other",0.891666666666667
"HOM","FUR","448093","Valencia 2 Door Midi Cream Wardrobe","Other",0.891666666666667
"HOM","FUR","448094","Valencia 2 Door Cream Wardrobe","Other",0.891666666666667
"HOM","FUR","448095","Valencia 3 Drawer Cream Chest Of Drawers","Other",0.891666666666667
"HOM","FUR","448096","Valencia 3 Drawer Bedside Cream Cabinet","Other",0.891666666666667
"HOM","FUR","448097","Valencia 4 Drawer Cream Chest Of Drawers","Other",0.891666666666667
"HOM","FUR","448098","Valencia 4 Drawer Cream Deep Chest of Drawers","Other",0.891666666666667
"HOM","FUR","448099","Valencia 5 Drawer Cream Chest Of Drawers","Other",0.891666666666667
"HOM","FUR","448100","Valencia 6 Drawer Midi Cream Chest Of Drawers","Other",0.891666666666667
"HOM","FUR","448101","Valencia Cream Blanket Box","Other",0.85
"HOM","FUR","448102","Valencia Childs Cream Wardrobe","Other",0.891666666666667
"HOM","FUR","448103","Valencia 6 Drawer Kneehole Cream Vanity","Other",0.891666666666667
"HOM","FUR","448104","Valencia Large Mirror Cream","Other",0.88
"HOM","FUR","448105","Valencia Sliding Cream Wardrobe","Other",0.891666666666667
"HOM","FUR","448106","Valencia Small Mirror Cream","Other",0.88
"HOM","FUR","448107","Valencia Cream Stool","Other",0.891666666666667
"HOM","FUR","448108","Valencia 3 Drawer Cream Vanity","Other",0.891666666666667
"HOM","FUR","440471","Regal Cheval Mirror Antique Pine","Seconique",0.88
"HOM","FUR","440472","Regal Cheval Mirror White","Seconique",0.88
"HOM","FUR","440473","Regal Dressing Table Mirror White","Seconique",0.88
"HOM","FUR","428486","Clovelly 4 Door Centre Mirror Robe Grey","Wilko",0.891666666666667
