"PSA_1","PSA_2","Article","Web Description","Brand","Height","Width","Depth","Type","Size","Colour","Pack Qty","Material","Assembly","Washable","Power","Capacity","Coverage","DQ Score"
"HOM","PHO","250487","Wilko Pewter Effect Photo Frame 12 x 10in","Wilko","35.8CM","30.6CM","1.8CM","Metal Effect Frame","12x10in","Grey","1",NA,NA,NA,NA,NA,NA,1
"HOM","PHO","250488","Wilko Pewter Effect Photo Frame 20 x 16in","Wilko","56.0CM","45.9CM","1.8CM","Metal Effect Frame","20x16in","Grey","1",NA,NA,NA,NA,NA,NA,1
"HOM","PHO","277030","Wilko Dorchester Silver Photo Frame 7 x 5in","Wilko","27.0CM","22.0CM","1.3CM","Metal Effect Frame","7x5in","Silver","1",NA,NA,NA,NA,NA,NA,1
"HOM","PHO","277031","Wilko Dorchester Silver Photo Frame 8 x 6in","Wilko","29.5CM","24.5CM","1.5CM","Metal Effect Frame","8x6in","Silver","1",NA,NA,NA,NA,NA,NA,1
"HOM","PHO","277033","Wilko Dorchester Silver Photo Frame 10 x 8in","Wilko","34.5CM","29.5CM","1.5CM","Metal Effect Frame","10x8in","Silver","1",NA,NA,NA,NA,NA,NA,1
"HOM","PHO","277034","Wilko Dorchester Silver Photo Frame 12 x 10in","Wilko","39.7CM","34.6CM","1.3CM","Metal Effect Frame","12x10in","Silver","1",NA,NA,NA,NA,NA,NA,1
"HOM","PHO","277035","Wilko Dorchester Silver Photo Frame 14 x 11in","Wilko","44.8CM","37.2CM","1.3CM","Metal Effect Frame","11x14in","Silver","1",NA,NA,NA,NA,NA,NA,1
"HOM","PHO","277037","Wilko Dorchester Silver Photo Frame 20 x 16in","Wilko","60.0CM","50.0CM","1.3CM","Metal Effect Frame","20x16in","Silver","1",NA,NA,NA,NA,NA,NA,1
"HOM","PHO","291010","Wilko Black Photo Frame 6 x 4in","Wilko","18.3CM","13.1CM","3.0CM","Plastic Frame","6x4in","Black","1",NA,NA,NA,NA,NA,NA,1
"HOM","PHO","291011","Wilko Black Photo Frame 7 x 5in","Wilko","20.8CM","15.7CM","3.0CM","Plastic Frame","7x5in","Black","1",NA,NA,NA,NA,NA,NA,1
"HOM","PHO","291012","Wilko Black Photo Frame 8 x 6in","Wilko","23.2CM","18.2CM","3.0CM","Plastic Frame","8x6in","Black","1",NA,NA,NA,NA,NA,NA,1
"HOM","PHO","291013","Wilko Black Photo Frame 10 x 8in","Wilko","28.5CM","23.4CM","3.0CM","Plastic Frame","10x8in","Black","1",NA,NA,NA,NA,NA,NA,1
"HOM","PHO","291027","Wilko Black Photo Frame 12 x 10in","Wilko","33.5CM","28.6CM","3.0CM","Plastic Frame","10x12in","Black","1",NA,NA,NA,NA,NA,NA,1
"HOM","PHO","291028","Wilko Black Photo Frame 14 x 11in","Wilko","38.6CM","30.9CM","3.0CM","Plastic Frame","14x11in","Black","1",NA,NA,NA,NA,NA,NA,1
"HOM","PHO","291029","Wilko Black Photo Frame 20 x 16in","Wilko","53.5CM","43.5CM","3.0CM","Plastic Frame","16x20in","Black","1",NA,NA,NA,NA,NA,NA,1
"HOM","PHO","291032","Wilko Black Multi Aperture Photo Frame3 x 6 x 4in","Wilko","43.6CM","23.4CM","3.0CM","Multi Aperture Frame","3x6x4in","Black","1",NA,NA,NA,NA,NA,NA,1
"HOM","PHO","291043","Wilko Light Wood Effect Photo Frame 6 x 4in","Wilko","18.2CM","13.3CM","3.0CM","Wood Effect Frame","6x4in","Wood","1",NA,NA,NA,NA,NA,NA,1
"HOM","PHO","291044","Wilko Light Wood Effect Photo Frame 7 x 5in","Wilko","20.8CM","15.8CM","3.0CM","Wood Effect Frame","7x5in","Wood","1",NA,NA,NA,NA,NA,NA,1
"HOM","PHO","291045","Wilko Light Wood Effect Photo Frame 8 x 6in","Wilko","32.2CM","18.2CM","3.0CM","Wood Effect Frame","8x6in","Wood","1",NA,NA,NA,NA,NA,NA,1
"HOM","PHO","291046","Wilko Light Wood Effect Photo Frame 10 x 8in","Wilko","28.6CM","23.4CM","3.0CM","Wood Effect Frame","10x8in","Wood","1",NA,NA,NA,NA,NA,NA,1
"HOM","PHO","291078","Wilko Light Wood Effect Photo Frame 12 x 10in","Wilko","33.6CM","28.4CM","3.0CM","Wood Effect Frame","10x12in","Wood","1",NA,NA,NA,NA,NA,NA,1
"HOM","PHO","291079","Wilko Light Wood Effect Photo Frame 14 x 11in","Wilko","38.5CM","31.0CM","3.1CM","Wood Effect Frame","14x11in","Wood","1",NA,NA,NA,NA,NA,NA,1
"HOM","PHO","291080","Wilko Light Wood Effect Photo Frame 20 x 16in","Wilko","53.5CM","43.5CM","3.0CM","Wood Effect Frame","16x20in","Wood","1",NA,NA,NA,NA,NA,NA,1
"HOM","PHO","291082","Wilko Light Wood Effect Multi Aperture Photo Frame3 x 6 x4in","Wilko","43.7CM","23.4CM","3.1CM","Multi Aperture Frame","3x6x4in","Wood","1",NA,NA,NA,NA,NA,NA,1
"HOM","PHO","296910","Wilko Pewter Effect Photo Frame 16 x 12in","Wilko","45.7CM","35.4CM","1.6CM","Metal Effect Frame","16x12in","Grey","1",NA,NA,NA,NA,NA,NA,1
"HOM","PHO","296929","Wilko Black Multi Aperture Photo Frame5 x 6 x4in","Wilko","25.1CM","73.1CM","3.0CM","Multi Aperture Frame","5x6x4in","Black","1",NA,NA,NA,NA,NA,NA,1
"HOM","PHO","296932","Wilko Light Wood Effect Multi Aperture Photo Frame6 x 6 x 4in","Wilko","41.5CM","44.6CM","3.1CM","Multi Aperture Frame","Multi App Frame","Wood","1",NA,NA,NA,NA,NA,NA,1
"HOM","PHO","296941","Wilko Mirror Glass Photo Frame 6 x 4in","Wilko","22.0CM","17.3CM","1.1CM","Mirrored Frame","6x4in","Silver","1",NA,NA,NA,NA,NA,NA,1
"HOM","PHO","296942","Wilko Mirror Glass Photo Frame 7 x 5in","Wilko","24.8CM","19.7CM","1.1CM","Mirrored Frame","7x5in","Silver","1",NA,NA,NA,NA,NA,NA,1
"HOM","PHO","296943","Wilko Mirror Glass Photo Frame 8 x 6in","Wilko","27.3CM","22.3CM","1.1CM","Mirrored Frame","8x6in","Silver","1",NA,NA,NA,NA,NA,NA,1
"HOM","PHO","296944","Wilko Mirror Glass Photo Frame 10 x 8in","Wilko","32.0CM","27.0CM","1.0CM","Mirrored Frame","10x8in","Silver","1",NA,NA,NA,NA,NA,NA,1
"HOM","PHO","296946","Wilko Rustic Effect Photo Frame 6 x 4in","Wilko","22.2CM","17.2CM","1.5CM","Wood Effect Frame","6x4in","Wood","1",NA,NA,NA,NA,NA,NA,1
"HOM","PHO","296966","Wilko White Multi Aperture Photo Frame5 x 6 x4in","Wilko","25.0CM","73.1CM","3.1CM","Multi Aperture Frame","5x6x4in","White","1",NA,NA,NA,NA,NA,NA,1
"HOM","PHO","296967","Wilko White Photo Frame 6 x 4in","Wilko","18.3CM","13.1CM","3.0CM","Plastic Frame","6x4in","White","1",NA,NA,NA,NA,NA,NA,1
"HOM","PHO","296968","Wilko White Photo Frame 7 x 5in","Wilko","20.8CM","15.7CM","3.0CM","Plastic Frame","7x5in","White","1",NA,NA,NA,NA,NA,NA,1
"HOM","PHO","296969","Wilko White Photo Frame 8 x 6in","Wilko","23.3CM","18.2CM","3.0CM","Plastic Frame","8x6in","White","1",NA,NA,NA,NA,NA,NA,1
"HOM","PHO","296970","Wilko White Photo Frame 10 x 8in","Wilko","28.4CM","23.3CM","3.0CM","Plastic Frame","10x8in","White","1",NA,NA,NA,NA,NA,NA,1
"HOM","PHO","296971","Wilko White Photo Frame 12 x 10in","Wilko","33.5CM","28.4CM","3.0CM","Plastic Frame","12x10in","White","1",NA,NA,NA,NA,NA,NA,1
"HOM","PHO","296972","Wilko White Photo Frame 14 x 11in","Wilko","38.5CM","31.0CM","3.0CM","Plastic Frame","14x11in","White","1",NA,NA,NA,NA,NA,NA,1
"HOM","PHO","296973","Wilko White Photo Frame 20 x 16in","Wilko","53.5CM","43.5CM","3.0CM","Plastic Frame","16x20in","White","1",NA,NA,NA,NA,NA,NA,1
"HOM","PHO","296975","Wilko White Multi Aperture Photo Frame3 x 6 x 4in","Wilko","43.6CM","23.3CM","3.0CM","Multi Aperture Frame","3x6x4in","White","1",NA,NA,NA,NA,NA,NA,1
"HOM","PHO","296977","Wilko Picture Hanging Kit","Wilko","13.5CM","8.8CM","2.3CM","Picture Hanging Kit","Single","Multi","1","Metal",NA,NA,NA,NA,NA,1
"HOM","PHO","296979","Wilko Silver Butterfly Detail Photo Frame 6 x 4in","Wilko","23.3CM","18.0CM","2.2CM","Decorative Frame","6x4in","Silver","1",NA,NA,NA,NA,NA,NA,1
"HOM","PHO","297093","Wilko Easy Black Photo Frame 8 x 6in","Wilko","21.1CM","16.1CM","1.7CM","Plastic Frame","8x6in","Black","1",NA,NA,NA,NA,NA,NA,1
"HOM","PHO","309999","Wilko Silver Butterfly Detail Photo Frame 8 x 6in","Wilko","26.9CM","21.9CM","2.2CM","Mirrored Frame","6x8in","Silver","1",NA,NA,NA,NA,NA,NA,1
"HOM","PHO","310005","Wilko Silver Butterfly Detail Photo Frame 7 x 5in","Wilko","24.4CM","19.5CM","2.0CM","Mirrored Frame","5x7in","Silver","1",NA,NA,NA,NA,NA,NA,1
"HOM","PHO","311817","Wilko Black Multi Aperture Photo Frame9 x 6 x4in","Wilko","47.0CM","46.5CM","4.0CM","Multi Aperture Frame","6x4in","Black","1",NA,NA,NA,NA,NA,NA,1
"HOM","PHO","311818","Wilko Light Wood Effect Multi Aperture Photo Frame9 x 6 x 4in","Wilko","47.0CM","46.5CM","4.0CM","Multi Aperture Frame","6x4in","Wood","1",NA,NA,NA,NA,NA,NA,1
"HOM","PHO","311819","Wilko White Multi Aperture Photo Frame9 x 6 x 4in","Wilko","47.0CM","46.5CM","4.0CM","Multi Aperture Frame","6x4in","White","1",NA,NA,NA,NA,NA,NA,1
"HOM","PHO","326478","Wilko Dorchester Silver Photo Frame 7 x 5in","Wilko","32.0CM","27.0CM","1.5CM","Metal Effect Frame","9x7in","Silver","1",NA,NA,NA,NA,NA,NA,1
"HOM","PHO","326479","Wilko Dorchester Gold Photo Frame 7 x 5in","Wilko","32.0CM","27.0CM","1.5CM","Metal Effect Frame","7x5in","Gold","1",NA,NA,NA,NA,NA,NA,1
"HOM","PHO","326492","Wilko Glitter Photo Frame 3 x 3in","Wilko","10.0CM","10.0CM","3.4CM","Decorative Frame","3x3in","Silver","1",NA,NA,NA,NA,NA,NA,1
"HOM","PHO","326493","Wilko Glitter Photo Frame 6 x 4in","Wilko","17.6CM","12.7CM","6.0CM","Decorative Frame","6x4in","Silver","1",NA,NA,NA,NA,NA,NA,1
"HOM","PHO","326494","Wilko Glitter Photo Frame 7 x 5in","Wilko","20.3CM","15.3CM","6.0CM","Decorative Frame","7x5in","Silver","1",NA,NA,NA,NA,NA,NA,1
"HOM","PHO","326495","Wilko Glitter Photo Frame Silver 6 x 4in","Wilko","22.1CM","17.3CM","6.0CM","Decorative Frame","6x4in","Silver","1",NA,NA,NA,NA,NA,NA,1
"HOM","PHO","326496","Wilko Glitter Photo Frame Silver 7 x 5in","Wilko","25.0CM","19.8CM","6.0CM","Decorative Frame","7x5in","Silver","1",NA,NA,NA,NA,NA,NA,1
"HOM","PHO","339717","Wilko Glitz Heart Shaped Photo Frame 4 x 4in","Wilko","10.5CM","11.8CM","6.0CM","Decorative Frame","4x4in","Silver","1",NA,NA,NA,NA,NA,NA,1
"HOM","PHO","339718","Wilko Butterfly Glitter Frame 5 x 7in","Wilko","19.5CM","16.0CM","13.0CM","Decorative Frame","5x7in","Silver","1",NA,NA,NA,NA,NA,NA,1
"HOM","PHO","339721","Wilko Mother Of Pearl Photo Frame 6 x 4in","Wilko","17.3CM","12.7CM","10.0CM","Decorative Frame","6x4in","Silver","1",NA,NA,NA,NA,NA,NA,1
"HOM","PHO","339722","Wilko Mother Of Pearl Frame 7 x 5in","Wilko","19.5CM","15.5CM","11.7CM","Decorative Frame","7x5in","Silver","1",NA,NA,NA,NA,NA,NA,1
"HOM","PHO","339723","Wilko Mother Of Pearl Frame 8 x 6in","Wilko","21.9CM","17.7CM","13.3CM","Decorative Frame","8x6in","Silver","1",NA,NA,NA,NA,NA,NA,1
"HOM","PHO","339724","Wilko Mother Of Pearl Photo Frame 10 x 8in","Wilko","26.5CM","23.0CM","15.5CM","Decorative Frame","10x8in","Silver","1",NA,NA,NA,NA,NA,NA,1
"HOM","PHO","339749","Wilko Cream Distressed Photo Frame 5 x 5in","Wilko","18.5CM","20.0CM","12.0CM","Distressed Frame","12x20x18.5cm","Cream","1",NA,NA,NA,NA,NA,NA,1
"HOM","PHO","339758","Wilko Cream Distressed Photo Frame 7 x 5in","Wilko","24.0CM","20.0CM","15.0CM","Distressed Frame","15x20x24cm","Cream","1",NA,NA,NA,NA,NA,NA,1
"HOM","PHO","339759","Wilko Cream Distressed Photo Frame 8 x 6in","Wilko","26.0CM","22.5CM","19.0CM","Distressed Frame","19x22.5x26cm","Cream","1",NA,NA,NA,NA,NA,NA,1
"HOM","PHO","339760","Wilko Cream Distressed Photo Frame 10 x 8in","Wilko","31.7CM","27.5CM","20.0CM","Distressed Frame","20x27.5x31.7cm","Cream","1",NA,NA,NA,NA,NA,NA,1
"HOM","PHO","339761","Wilko Cream Distressed Photo Frame 12 x 10in","Wilko","37.5CM","32.5CM","2.0CM","Distressed Frame","2x32.5x37.5cm","Cream","1",NA,NA,NA,NA,NA,NA,1
"HOM","PHO","436360","Wilko Double Silver Photo Frame 5 x 7in Each","Wilko","23.5CM","30.0CM","13.5CM","Silver Effect Frame","Double Frame","Silver","1",NA,NA,NA,NA,NA,NA,1
"HOM","PHO","436361","Wilko Pewter Photo Frame 11 x 14in","Wilko","38.0CM","33.0CM","18.0CM","Pewter Effect Frame","11x14in","Brown","1",NA,NA,NA,NA,NA,NA,1
"HOM","PHO","436362","Wilko Pewter Multi Aperture 20 x 24in","Wilko","65.8CM","56.0CM","1.5CM","Multi Aperture Frame","Multi App Frame","Brown","1",NA,NA,NA,NA,NA,NA,1
"HOM","PHO","436363","Wilko Gold Dorchester Multi Aperture Photo Frame20 x 24in","Wilko","69.7CM","59.5CM","1.0CM","Multi Aperture Frame","Multi App Frame","Gold","1",NA,NA,NA,NA,NA,NA,1
"HOM","PHO","436365","Wilko Rustic Frame Multi Aperture Photo Frame20 x 24in","Wilko","68.0CM","57.8CM","1.5CM","Multi Aperture Frame","Multi App Frame","Brown","1",NA,NA,NA,NA,NA,NA,1
"HOM","PHO","436366","Wilko Black Box Multi 6 Aperture Photo Frame16 x 16in","Wilko","42.6CM","42.6CM","4.0CM","Multi Aperture Frame","Multi App Frame","Black","1",NA,NA,NA,NA,NA,NA,1
"HOM","PHO","436367","Wilko White Box Multi 6 Aperture Photo Frame16 x 16in","Wilko","42.6CM","42.6CM","4.0CM","Multi Aperture Frame","Multi App Frame","White","1",NA,NA,NA,NA,NA,NA,1
"HOM","PHO","436368","Wilko Grey Box Multi 6 Aperture Photo Frame16 x 16in","Wilko","42.6CM","42.6CM","4.0CM","Multi Aperture Frame","Multi App Frame","Grey","1",NA,NA,NA,NA,NA,NA,1
"HOM","PHO","436369","Wilko Grey Photo Frame 8 x 8in","Wilko","21.0CM","23.4CM","15.0CM","Plastic Frame","8x8in","Grey","1",NA,NA,NA,NA,NA,NA,1
"HOM","PHO","436370","Wilko Grey Photo Frame 12 x 12in","Wilko","32.0CM","33.7CM","18.0CM","Plastic Frame","12x12in","Grey","1",NA,NA,NA,NA,NA,NA,1
"HOM","PHO","436371","Wilko Black Photo Frame 8 x 8in","Wilko","21.0CM","23.4CM","15.0CM","Plastic Frame","8x8in","Black","1",NA,NA,NA,NA,NA,NA,1
"HOM","PHO","436372","Wilko Black Photo Frame 12 x 12in","Wilko","32.0CM","33.7CM","18.0CM","Plastic Frame","12x12in","Black","1",NA,NA,NA,NA,NA,NA,1
"HOM","PHO","436373","Wilko White Photo Frame 8 x 8in","Wilko","21.0CM","23.4CM","15.0CM","Plastic Frame","8x8in","White","1",NA,NA,NA,NA,NA,NA,1
"HOM","PHO","436375","Wilko Light Wood Photo Frame 8 x 8in","Wilko","21.0CM","23.4CM","15.0CM","Wood Effect Frame","8x8in","Wood","1",NA,NA,NA,NA,NA,NA,1
"HOM","PHO","436376","Wilko Light Wood Photo Frame 12 x 12in","Wilko","32.0CM","33.7CM","18.0CM","Wood Effect Frame","12x12in","Wood","1",NA,NA,NA,NA,NA,NA,1
"HOM","PHO","436377","Wilko Black Photo Frame 3.5 x 5in","Wilko","16.0CM","12.1CM","11.0CM","Plastic Frame","3.5x5in","Black","1",NA,NA,NA,NA,NA,NA,1
"HOM","PHO","436378","Wilko White Photo Frame 3.5 x 5in","Wilko","16.0CM","12.1CM","11.0CM","Plastic Frame","3.5x5in","White","1",NA,NA,NA,NA,NA,NA,1
"HOM","PHO","436379","Wilko Light Wood Photo Frame 3.5 x 5in","Wilko","16.0CM","12.1CM","11.0CM","Wood Effect Frame","3.5x5in","Wood","1",NA,NA,NA,NA,NA,NA,1
"HOM","PHO","436380","Wilko Grey Photo Frame 3.5 x 5in","Wilko","16.0CM","12.1CM","11.0CM","Plastic Frame","3.5x5in","Grey","1",NA,NA,NA,NA,NA,NA,1
"HOM","PHO","436381","Wilko Grey Photo Frame 4 x 6in","Wilko","18.5CM","13.3CM","11.0CM","Plastic Frame","4x6in","Grey","1",NA,NA,NA,NA,NA,NA,1
"HOM","PHO","436382","Wilko Grey Photo Frame 5 x 7in","Wilko","20.9CM","15.9CM","13.5CM","Plastic Frame","5x7in","Grey","1",NA,NA,NA,NA,NA,NA,1
"HOM","PHO","436383","Wilko Grey Photo Frame 6 x 8in","Wilko","23.5CM","18.4CM","14.0CM","Plastic Frame","6x8in","Grey","1",NA,NA,NA,NA,NA,NA,1
"HOM","PHO","436384","Wilko Grey Photo Frame 8 x 10in","Wilko","27.2CM","23.5CM","15.0CM","Plastic Frame","8x10in","Grey","1",NA,NA,NA,NA,NA,NA,1
"HOM","PHO","436385","Wilko Grey Photo Frame 10 x 12in","Wilko","33.5CM","28.5CM","3.0CM","Plastic Frame","10x12in","Grey","1",NA,NA,NA,NA,NA,NA,1
"HOM","PHO","436386","Wilko Grey Photo Frame 11 x 14in","Wilko","38.5CM","31.0CM","3.0CM","Plastic Frame","11x14in","Grey","1",NA,NA,NA,NA,NA,NA,1
"HOM","PHO","436387","Wilko Grey Photo Frame 16 x 20in","Wilko","54.0CM","43.5CM","3.0CM","Plastic Frame","16x20in","Grey","1",NA,NA,NA,NA,NA,NA,1
"HOM","PHO","436388","Wilko Grey Triple Photo Frame 6 x 4in Each","Wilko","23.5CM","43.5CM","3.0CM","Multi Aperture Frame","Multi 3x 6x4","Grey","1",NA,NA,NA,NA,NA,NA,1
"HOM","PHO","436390","Wilko Rococo Multi Aperture Photo Frame","Wilko","36.0CM","68.5CM","2.8CM","Multi Aperture Frame","Multi App Frame","White","1",NA,NA,NA,NA,NA,NA,1
"HOM","PHO","436391","Wilko Family Multi Aperture Photo Frame","Wilko","38.0CM","48.0CM","2.0CM","Multi Aperture Frame","Multi App Frame","White","1",NA,NA,NA,NA,NA,NA,1
"HOM","PHO","436392","Wilko Love Multi Aperture Photo Frame","Wilko","46.0CM","46.8CM","2.0CM","Multi Aperture Frame","Multi App Frame","White","1",NA,NA,NA,NA,NA,NA,1
"HOM","PHO","436398","Wilko Distressed Grey Photo Frame 5 x 5in","Wilko","18.5CM","20.0CM","12.0CM","Distressed Frame","5x5in","Grey","1",NA,NA,NA,NA,NA,NA,1
"HOM","PHO","436399","Wilko Distressed Grey Photo Frame 5 x 7in","Wilko","24.0CM","20.0CM","15.0CM","Distressed Frame","5x7in","Grey","1",NA,NA,NA,NA,NA,NA,1
"HOM","PHO","436400","Wilko Distressed Grey Photo Frame 6 x 8in","Wilko","26.0CM","22.5CM","19.0CM","Distressed Frame","6x8in","Grey","1",NA,NA,NA,NA,NA,NA,1
"HOM","PHO","436401","Wilko Distressed Grey Photo Frame 8 x 10in","Wilko","31.7CM","27.5CM","20.0CM","Distressed Frame","8x10in","Grey","1",NA,NA,NA,NA,NA,NA,1
"HOM","PHO","436402","Wilko Distressed Grey Photo Frame 10 x 12in","Wilko","37.5CM","32.5CM","2.0CM","Distressed Frame","10x12in","Grey","1",NA,NA,NA,NA,NA,NA,1
"HOM","PHO","436403","Wilko Silver Effect Decorative Frame 6 x 4in","Wilko","16.5CM","12.3CM","11.5CM","Silver Effect Frame","6x4in","Silver","1",NA,NA,NA,NA,NA,NA,1
"HOM","PHO","436404","Wilko Silver Decorative Photo Frame 5 x 7in","Wilko","19.0CM","14.5CM","13.0CM","Silver Effect Frame","5x7in","Silver","1",NA,NA,NA,NA,NA,NA,1
"HOM","PHO","436405","Wilko Silver Decorative Frame 6 x 8in","Wilko","21.5CM","17.2CM","14.5CM","Silver Effect Frame","6x8in","Silver","1",NA,NA,NA,NA,NA,NA,1
"HOM","PHO","436407","Wilko Glass and Silver Border Photo Frame3.5 x 5in","Wilko","19.0CM","15.7CM","9.5CM","Glass Frame","3.5x5in","Clear","1",NA,NA,NA,NA,NA,NA,1
"HOM","PHO","436408","Wilko Silver Border Glass Frame 4 x 6in","Wilko","21.0CM","17.0CM","12.0CM","Glass Frame","4x6in","Clear","1",NA,NA,NA,NA,NA,NA,1
"HOM","PHO","436409","Wilko Silver Border Glass Photo Frame 7 x 5in","Wilko","24.0CM","20.2CM","13.0CM","Glass Frame","7x5in","Clear","1",NA,NA,NA,NA,NA,NA,1
"HOM","PHO","436410","Wilko Silver Border Glass Photo Frame 6 x 8in","Wilko","26.7CM","23.0CM","17.0CM","Glass Frame","6x8in","Clear","1",NA,NA,NA,NA,NA,NA,1
"HOM","PHO","436411","Wilko Beaded Mirrored Photo Frame 6 x 4in","Wilko","22.0CM","17.2CM","13.0CM","Mirrored Frame","6x4in","Gold","1",NA,NA,NA,NA,NA,NA,1
"HOM","PHO","436412","Wilko Beaded Mirrored Photo Frame 5 x 7in","Wilko","24.0CM","19.7CM","15.0CM","Mirrored Frame","5x7in","Gold","1",NA,NA,NA,NA,NA,NA,1
"HOM","PHO","436413","Wilko Beaded Mirrored Photo Frame 6 x 8in","Wilko","27.0CM","22.2CM","14.0CM","Mirrored Frame","6x8in","Gold","1",NA,NA,NA,NA,NA,NA,1
"HOM","PHO","436414","Wilko Beaded Mirrored Photo Frame 8 x 10in","Wilko","32.0CM","27.2CM","16.0CM","Mirrored Frame","8x10in","Gold","1",NA,NA,NA,NA,NA,NA,1
"HOM","PHO","436415","Wilko Silver Box Photo Frame 8 x 10in","Wilko","32.5CM","28.0CM","20.5CM","Box Frame","8x10in","Silver","1",NA,NA,NA,NA,NA,NA,1
"HOM","PHO","436416","Wilko Silver Box Fram 8 x 6in","Wilko","27.5CM","23.0CM","17.0CM","Silver Effect Frame","8x6in","Silver","1",NA,NA,NA,NA,NA,NA,1
"HOM","PHO","436417","Wilko Box Photo Frame White 4 x 4in","Wilko","12.0CM","3.5CM","12.0CM","Box Frame","4x4in","White","1",NA,NA,NA,NA,NA,NA,1
"HOM","PHO","436418","Wilko Box Photo Frame White 6 x 6in","Wilko","19.5CM","3.5CM","19.5CM","Box Frame","6x6in","White","1",NA,NA,NA,NA,NA,NA,1
"HOM","PHO","436419","Wilko Box Photo Frame White 8 x 8in","Wilko","24.1CM","3.5CM","24.1CM","Box Frame","8x8in","White","1",NA,NA,NA,NA,NA,NA,1
"HOM","PHO","436420","Wilko Box Photo Frame White 12 x 12in","Wilko","37.0CM","3.5CM","37.0CM","Box Frame","12 x 12in","White","1",NA,NA,NA,NA,NA,NA,1
"HOM","PHO","436422","Wilko Silver Lace Effect Photo Frame 6 x 4in","Wilko","22.0CM","1.5CM","17.0CM","Silver Effect Frame","6x4in","Silver","1",NA,NA,NA,NA,NA,NA,1
"HOM","PHO","436423","Wilko Silver Lace Effect Photo Frame 7 x 5in","Wilko","24.0CM","1.5CM","19.0CM","Silver Effect Frame","7x5in","Silver","1",NA,NA,NA,NA,NA,NA,1
"HOM","PHO","437155","Wilko Grey Multi Aperture Photo Frame","Wilko","46.0CM","46.0CM","3.5CM","Multi Aperture Frame","Multi 9x 6x4","Grey","1",NA,NA,NA,NA,NA,NA,1
"HOM","PHO","57909","Wilko Clip Frame 16 x 12in","Wilko","32.0CM","42.0CM","1.0CM","Clip Frame","16x12in","White","1",NA,NA,NA,NA,NA,NA,1
"HOM","PHO","64746","Wilko Clip Frame  20 x 16in","Wilko","42.0CM","52.0CM","1.4CM","Clip Frame","20x16in","Clear","1",NA,NA,NA,NA,NA,NA,1
"HOM","PHO","7779","Wilko Clip Frame A4","Wilko","30.0CM","21.0CM","1.5CM","Clip Frame","A4","Metal","1",NA,NA,NA,NA,NA,NA,1
"HOM","PHO","78695","Wilko Plastic Front Clip Frame 24 x 20in","Wilko","52.1CM","61.9CM","1.4CM","Clip Frame","24x20in","Clear","1",NA,NA,NA,NA,NA,NA,1
"HOM","PHO","78697","Wilko Clip Frame 32 x 24in","Wilko","62.0CM","81.7CM","1.4CM","Clip Frame","32x24in","Clear","1",NA,NA,NA,NA,NA,NA,1
"HOM","PHO","78698","Wilko Clip Frame 39 x 27in","Wilko","71.7CM","101.5CM","1.0CM","Clip Frame","39x27in","Clear","1",NA,NA,NA,NA,NA,NA,1
"HOM","QUI","243583","Wilko Water Resistant Single Mattress Protector90 x 190cm","Wilko","26.0CM","19.0CM","4.5CM","Single Mattress Protector","Single","White",NA,"100% Polypropylene","No",NA,NA,NA,NA,1
"HOM","QUI","243584","Wilko Water Resistant Double Mattress Protector140 x 190cm","Wilko","26.0CM","19.5CM","4.5CM","Double Mattress Protector","Double","White",NA,"100% Polypropylene","No",NA,NA,NA,NA,1
"HOM","QUI","243585","Wilko King Size Mattress Protector  150 x 200cm","Wilko","25.0CM","20.0CM","5.0CM","King Size Mattress Protector","Kingsize","White",NA,"Polypropylene, Polyethylene","No",NA,NA,NA,NA,1
"HOM","QUI","243586","Wilko Luxury Mattress Single Protector Quilted","Wilko",".3CM","94.0CM","193.0CM","Single Mattress Protector","Single","White",NA,"100% Polyester","No",NA,NA,NA,NA,1
"HOM","QUI","243587","Wilko Luxury Mattress Double Protector Quilted","Wilko","37.0CM","25.0CM","8.0CM","Double Mattress Protector","Double","White",NA,"100% Polyester","No",NA,NA,NA,NA,1
"HOM","QUI","243588","Wilko Luxury Mattress King Size Protector Quilted","Wilko","25.0CM","200.0CM","150.0CM","King Size Mattress Protector","Kingsize","White",NA,"100% Polyester","No",NA,NA,NA,NA,1
"HOM","QUI","274682","Wilko Super Soft Single Duvet 13.5 Tog","Wilko","7.0CM","135.0CM","200.0CM","13.5 Tog Duvet","Single","White","1","Polyester",NA,"Washable",NA,NA,NA,1
"HOM","QUI","274683","Wilko Polycotton Double Duvet 13.5 Tog","Wilko","34.0CM","33.0CM","29.0CM","13.5 Tog Duvet","Double","White","1","100% Polyester",NA,"Washable",NA,NA,NA,1
"HOM","QUI","274684","Wilko Super Soft King Size Duvet 13.5 Tog","Wilko","7.0CM","220.0CM","225.0CM","13.5 Tog Duvet","Kingsize","White","1","100% Polyester",NA,"Washable",NA,NA,NA,1
"HOM","QUI","314950","Wilko Pillow Protector Quilted White 50 x 75cm","Wilko",".3CM","50.0CM","75.0CM","Pillow Protector","75x50cm","White","1","100% Polyester",NA,"Washable",NA,NA,NA,1
"HOM","QUI","324820","Wilko Supersoft Pillow 2pk 48 x 74cm","Wilko","17.0CM","48.0CM","74.0CM","Supersoft Value Pillow","63x42cm","White","2","100% Polyester",NA,"Washable",NA,NA,NA,1
