"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Assembly","Capacity","DQ Score"
"PET","100","334238","Komodo Tropical Terrain Compact Brick","Komodo",NA,NA,NA,NA,NA,NA,1
"PET","100","334240","Komodo Tropical Terrain Rainforest Substrate 6L","Komodo",NA,NA,NA,NA,NA,NA,1
"PET","100","334241","Komodo Aspen Bed Terrain Snake Substrate 6L","Komodo",NA,NA,NA,NA,NA,NA,1
"PET","100","428948","Komodo Tortoise Flower Mix 60g","Komodo",NA,NA,NA,NA,NA,NA,0.95
"PET","100","428951","Komodo Chamomile Flower 60g","Komodo",NA,NA,NA,NA,NA,NA,0.95
"PET","100","428952","Komodo Nutri-Cal 75g","Komodo",NA,NA,NA,NA,NA,NA,0.95
"PET","100","428954","Komodo CaCo Sand White 4kg","Komodo",NA,NA,NA,NA,NA,NA,1
"PET","100","428955","Komodo Wooden Hide Small","Komodo",NA,NA,NA,NA,NA,NA,0.95
"PET","100","428956","Komodo Wooden Hide Regular","Komodo",NA,NA,NA,NA,NA,NA,0.95
"PET","100","428957","Komodo Wooden Hide Large","Komodo",NA,NA,NA,NA,NA,NA,0.95
"PET","100","428958","Komodo Raptor Skull Small","Komodo",NA,NA,NA,NA,NA,NA,0.95
"PET","100","454286","Komodo Caco Sand Volcanic Blend","Komodo",NA,NA,NA,NA,NA,NA,0.95
"PET","100","454287","Komodo Caco Sand Amethyst Blend","Komodo",NA,NA,NA,NA,NA,NA,0.95
"PET","100","454288","Komodo Natural Reptile Sand 5kg","Komodo",NA,NA,NA,NA,NA,NA,0.95
"PET","100","454289","Komodo Habitat Moss Compact Brick 100g","Komodo",NA,NA,NA,NA,NA,NA,1
"PET","100","454290","Komodo Beastie Balls Insect Reptile Hydration330ml","Komodo",NA,NA,NA,NA,NA,NA,0.95
"PET","100","454291","Komodo Twin Jelly Pot Holder","Komodo",NA,NA,NA,NA,NA,NA,1
"PET","100","454292","Komodo Forest Jelly Pot Holder","Komodo",NA,NA,NA,NA,NA,NA,0.95
"PET","100","454293","Komodo Jelly Pots Mixed Flavours 8pk","Komodo",NA,NA,NA,NA,NA,NA,0.95
"PET","100","454294","Komodo Jelly Pots Calcium 8pk","Komodo",NA,NA,NA,NA,NA,NA,0.95
"PET","100","334132","Kong Safestix Dog Toy Small","Kong","Small","Multi","1",NA,"No",NA,0.65
"PET","100","334135","Kong Puppy Chewing Dog Toy Small","Kong","Small",NA,"1",NA,NA,NA,1
"PET","100","334136","Kong Puppy Chewing Dog Toy Medium","Kong","Medium",NA,"1",NA,NA,NA,1
"PET","100","334137","Kong Puppy Chewing Dog Toy Large","Kong","Large",NA,NA,NA,NA,NA,0.9125
"PET","100","314102","Vinyl Linyl Lost Sole Dog Toy Slipper","Lost Sole",NA,NA,"1",NA,NA,NA,0.86
"PET","100","313747","Marina i25 Internal Filter","Marina",NA,NA,"1",NA,NA,NA,0.86
"PET","100","313749","Marina i25 3 in 1 Power Cartridge 2pk","Marina",NA,NA,"2pk",NA,NA,NA,0.86
"PET","100","313844","Marina Multi Aquarium Gravel Washer","Marina",NA,NA,"1",NA,NA,NA,0.86
"PET","100","313846","Marina Aquarium Glass Cleaning Kit","Marina",NA,NA,"1",NA,NA,NA,0.86
"PET","100","313853","Marina Aquarium Algae Magnet Cleaner","Marina",NA,NA,"1",NA,NA,NA,0.86
"PET","100","313855","Marina Easy Clean","Marina","10in, 25.5cm",NA,"1",NA,NA,NA,0.93
"PET","100","313863","Marina Air Pump up to 60L","Marina","60L",NA,"1",NA,NA,NA,0.93
"PET","100","313866","Marina Air Pump up to 100L","Marina",NA,NA,"1",NA,NA,NA,0.86
"PET","100","313891","Marina LCD Digital Aquarium Thermometer","Marina","17.8x0.6cm",NA,NA,NA,NA,NA,0.86
"PET","100","313946","Marina Polywool 40g","Marina","40g",NA,NA,NA,NA,NA,0.86
"PET","100","313983","Marina Aquarium Gravel Black 2kg","Marina","2kg","Black",NA,NA,NA,NA,0.883333333333333
