"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Assembly","Power","Capacity","Coverage","Model Number","DQ Score"
"DEC","WAL","449746","Superfresco Wallpaper Sprig Silver","Superfresco","10m x 0.52m","Silver","1","Paper",NA,NA,NA,"5.2m²",NA,1
"DEC","WAL","449747","Superfresco Wallpaper Sprig Duck Egg","Superfresco","10m x 0.52m","Blue","1","Paper",NA,NA,NA,"5.2m²",NA,1
"DEC","WAL","449756","Superfresco Wallpaper Lotus Flower","Superfresco","10m x 0.52m","White","1","Paper",NA,NA,NA,"5.2m²",NA,1
"DEC","WAL","450109","Superfresco Wallpaper Easy New Brick Grey","Superfresco","10m x 0.52m","Grey","1","Paper","Yes","N/A","N/A","5.2m²","33-071",0.65
"DEC","WAL","450110","Superfresco Wallpaper Easy Aura Grey","Superfresco","10m x 0.52m","Grey","1","Paper",NA,NA,NA,"5.2m²",NA,1
"DEC","WAL","213029","Wilko Wallpaper Linen Stripe Textured White 13954","Wilko","10m x 0.52m","White",NA,NA,"No",NA,NA,"5.2m²",NA,0.65
"DEC","WAL","221313","Wilko Wallpaper Stria Textured White 14062","Wilko","10m x 0.52m","White",NA,NA,NA,NA,NA,"5.2m²",NA,0.9
"DEC","WAL","235704","Wilko Wallpaper Plaster Textured White 15264","Wilko","10m x 0.52m","White",NA,NA,NA,NA,NA,"5.2m²",NA,0.9
"DEC","WAL","246711","Wilko Wallpaper Text Vinyl 16267","Wilko","10m x 0.52m","White",NA,NA,NA,NA,NA,"5.2m²",NA,0.9
"DEC","WAL","246878","Wilko Decorative Effects Lining Paper WallcoveringWhite","Wilko","10.05mx0.53m","White","1",NA,NA,NA,NA,NA,NA,0.9
"DEC","WAL","263632","Wilko Wallpaper Textured White 13164","Wilko","10m x 0.52m","White",NA,NA,NA,NA,NA,"5.2m²",NA,0.9
"DEC","WAL","289998","Wilko Wallpaper Textured Floating Squares 10-056","Wilko","10m x 0.52m","White","1",NA,NA,NA,NA,"5.2m²",NA,0.95
"DEC","WAL","300544","Wilko Lining Paper Wallcovering","Wilko","10m x 0.52m","White","1",NA,NA,NA,NA,"5.2m²",NA,0.95
"DEC","WAL","307289","Wilko Wallpaper Manton Signature Stripe Neutral 50-235","Wilko","10m x 0.52m","Cream","1",NA,"No",NA,NA,"5.2m²",NA,0.65
"DEC","WAL","321116","Wilko Wallpaper Bellini Textured Paintable White 10-119","Wilko","10m x 0.52m","White",NA,NA,NA,NA,NA,"5.2m²",NA,0.9
"DEC","WAL","332113","Wilko Wallpaper Stripe Black/White 50-576","Wilko","10m x 0.52m","Black","1",NA,"No",NA,NA,"5.2m²",NA,0.65
"DEC","WAL","342935","Wilko Carnaby Floral Black Wallpaper","Wilko","10.05mx0.53m","Black","1",NA,"No",NA,NA,NA,NA,0.65
"DEC","WAL","343944","Wilko Wallpaper Star Flower Grey","Wilko","10m x 0.52m","Grey","1",NA,"No",NA,NA,"5.2m²",NA,0.65
"DEC","WAL","343986","Wilko Wallpaper Butterfly Pink","Wilko","10m x 0.52m","Pink","1",NA,"No",NA,NA,"5.2m²",NA,0.65
"DEC","WAL","344130","Wilko Wallpaper Manton Stripe Plum/Teal","Wilko","10.05mx0.53m","Purple","1",NA,"No",NA,NA,NA,NA,0.65
"DEC","WAL","436920","Wilko Wallpaper Branches Neutral","Wilko","10m x 0.52m","Cream","1","Paper",NA,NA,NA,"5.2m²",NA,1
"DEC","WAL","436922","Wilko Wallpaper Rosanna Floral Black/White","Wilko","10m x 0.52m","Multi","1","Paper","No",NA,NA,"5.2m²","101702",0.65
"DEC","WAL","436925","Wilko Wallpaper Rosanna Floral Red","Wilko","10m x 0.52m","Red","1","Paper",NA,NA,NA,"5.2m²",NA,1
"DEC","WAL","436926","Wilko Wallpaper Butterfly Grey","Wilko","10m x 0.52m","Grey","1","Paper","No",NA,NA,"5.2m²","101697",0.65
"DEC","WAL","449742","Wilko Wallpaper Cheese Plant Charcoal and Gold","Wilko","10m x 0.52m","Black","1","Paper","No","N/A","N/A","5.2m²","102791",0.65
"DEC","WAL","449743","Wilko Wallpaper Cheese Plant White and Silver","Wilko","10m x 0.52m","Silver","1","Paper",NA,NA,NA,"5.2m²",NA,1
"DEC","WAL","449744","Wilko Wallpaper Cherry Blossom Neutral","Wilko","10m x 0.52m","Cream","1","Paper",NA,NA,NA,"5.2m²",NA,1
"DEC","WAL","449745","Wilko Wallpaper Cherry Blossom Red","Wilko","10m x 0.52m","Red","1","Paper",NA,NA,NA,"5.2m²",NA,1
"DEC","WAL","449748","Wilko Wallpaper Jackson Stripe Black","Wilko","10m x 0.52m","Black","1","Paper","No","N/A","N/A","5.2m²","102780",0.65
"DEC","WAL","449749","Wilko Wallpaper Jackson Stripe Neutral","Wilko","10m x 0.52m","Brown","1","Paper",NA,NA,NA,"5.2m²",NA,1
"DEC","WAL","449750","Wilko Wallpaper Jackson Stripe Green","Wilko","10m x 0.52m","Green","1","Paper",NA,NA,NA,"5.2m²",NA,1
