"PSA_1","PSA_2","Article","Web Description","Brand","Height","Width","Depth","Type","Size","Colour","Pack Qty","Material","Assembly","Washable","Power","Capacity","Coverage","Age","Model Number","DQ Score"
"KIT","BAP","302282","Tala Icing Bag Set with 8 Nozzles","Wilko","29.3CM","15.2CM","3.5CM","Icing, Bags and Nozzles","30cm","White","8pcs",NA,NA,NA,NA,NA,NA,NA,NA,0.95
"KIT","BAP","302283","Wilko Flour Sifter","Wilko","9.0CM","10.0CM","15.0CM","Flour Sifter","10.2 x 15.5 x 9.3cm",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.93
"KIT","BAP","304539","Wilko Mini Scales","Wilko","11.9CM","9.0CM","6.6CM","Kitchen Scales","Mini","Multi",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.93
"KIT","BAP","305020","Wilko Cake Board 30cm/12in","Wilko","30.2CM","30.2CM",".9CM","Cake Board","12in","Silver","1",NA,NA,NA,NA,NA,NA,NA,NA,0.9
"KIT","BAP","318188","Wilko Gingerbread Man Cookie Cutters","Wilko","11.7CM","9.2CM","2.9CM","Cutters","Assorted","Silver","3",NA,NA,NA,NA,NA,NA,NA,NA,1
"KIT","BAP","318189","Wilko Cookie Cutter Stainless Steel Heart Shaped3pk","Wilko","2.5CM","12.0CM","11.0CM","Cutters","Assorted","Pink","1",NA,NA,NA,NA,NA,NA,NA,NA,1
"KIT","BAP","318430","Wilko Kitchen Scales Cream 5kg","Wilko","22.6CM","22.7CM","20.3CM","Kitchen Scales","5kg","Cream",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.93
"KIT","BAP","318431","Wilko Stainless Steel Electronic Kitchen Scales","Wilko","21.8CM","22.3CM","11.2CM","Kitchen Scales",NA,"Pink","1",NA,NA,NA,NA,NA,NA,NA,NA,0.93
"KIT","BAP","319625","Wilko Scales Black 5kg","Wilko","22.5CM","22.8CM","19.9CM","Kitchen Scales","5kg","Black","1",NA,NA,NA,NA,NA,NA,NA,NA,1
"KIT","BAP","328736","Wilko Baking Book 150 Recipes","Wilko","14.3CM","11.5CM","2.3CM","Cook Books",NA,"Multi","1",NA,NA,NA,NA,NA,NA,NA,NA,0.93
"KIT","BAP","328764","Wilko Disposable Icing Bags 30pk","Wilko","18.1CM","4.0CM","4.0CM","Icing, Bags and Nozzles","30 Pack","White","30pk",NA,NA,NA,NA,NA,NA,NA,NA,1
"KIT","BAP","328775","Wilko Daisy Icing Plunge Cutters 4pk","Wilko","25.7CM","9.3CM","5.0CM","Cutters","4 Pack","White","1",NA,NA,NA,NA,NA,NA,NA,NA,1
"KIT","BAP","328777","Wilko Butterfly Icing Sugar Cutters Set 3 Piece","Wilko","21.7CM","9.2CM","5.8CM","Cutters","Assorted","White","3pk",NA,NA,NA,NA,NA,NA,NA,NA,1
"KIT","BAP","328780","Wilko Sugar Modeling Craft Tool Set","Wilko","20.0CM","14.5CM","2.0CM","Icing Tools","Set","Multi","1",NA,NA,NA,NA,NA,NA,NA,NA,1
"KIT","BAP","328815","Wilko Cake Decorating Turntable 28cm","Wilko","7.5CM","28.0CM","28.0CM","Turntable","28cm","White","1",NA,NA,NA,NA,NA,NA,NA,NA,1
"KIT","BAP","346285","Wilko Cake Tester","Wilko","23.4CM","6.2CM","1.0CM","Cake Tester","16.8 x 2.8 x 0.65cm","Multi","1",NA,NA,NA,NA,NA,NA,NA,NA,1
"KIT","BAP","351587","Wilko Weights and Measures Baking Board","Wilko","1.0CM","38.0CM","47.5CM","Baking Board","Work surface protector 48 x 38 x 0.5cm 1.790kg","Multi","1",NA,NA,NA,NA,NA,NA,NA,NA,1
"KIT","BAP","351590","Wilko Spatula Plain Pastels","Wilko","26.1CM","5.2CM","1.0CM","Spatula and Turners",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.79
"KIT","BAP","36546","Wilko Metal Whisk 20cm","Wilko","5.0CM","5.0CM","20.0CM","Whisk","20cm","Silver","1",NA,NA,NA,NA,NA,NA,NA,NA,1
"KIT","BAP","421504","Wilko Twist Top Jar 190ml 12pk","Wilko","9.0CM","18.0CM","28.0CM","Storage Jars","190ml",NA,"12",NA,NA,NA,NA,NA,NA,NA,NA,0.85
"KIT","BAP","421505","Wilko Twist Top Jar 300ml 12pk","Wilko","10.0CM","23.0CM","30.0CM","Storage Jars","300ml Round",NA,"12","Glass and Tin plated Steel",NA,NA,NA,NA,NA,NA,NA,0.9
"KIT","BAP","435780","Wilko Sanctuary Jar Large","Wilko","26.0CM","11.5CM","11.5CM","Storage Jars",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75
