"PSA_1","PSA_2","Article","Web Description","Brand","Height","Width","Depth","Type","Size","Colour","Pack Qty","Material","Age","DQ Score"
"SBK","COO","445267","Wilko Enterprising Britain Accessories Set Containing Push Pins, Binder Clips and Paper Clips","Wilko","5.0CM","15.0CM","8.0CM","Punches and Fasteners",NA,NA,NA,NA,NA,1
"SBK","COO","445268","Wilko Enterprising Britain Binder Clip in Glass Jar 20pcs","Wilko","8.3CM","6.3CM","6.3CM","Binder Clip",NA,NA,NA,NA,NA,1
"SBK","COO","445269","Wilko Enterprising Britain Premium Journal Notebook B5 80 Sheets 80GSM","Wilko","25.0CM","17.6CM","2.0CM","Notebooks",NA,NA,NA,NA,NA,1
"SBK","COO","445275","Wilko Enterprising Britain Jotter Notebook","Wilko","13.6CM","7.5CM","1.2CM","Notebooks",NA,NA,NA,NA,NA,1
"SBK","COO","445276","Wilko Enterprising Britain Desk Planner Pad60 Sheets 80GSM","Wilko","25.0CM","17.5CM",".7CM","Journals, Planners and Organisers",NA,NA,NA,NA,NA,1
"SBK","COO","445277","Wilko Enterprising Britain A4 Wiro80 Sheets 80GSM","Wilko","30.0CM","21.5CM","2.0CM","Notebooks",NA,NA,NA,NA,NA,1
"SBK","COO","445278","Wilko Enterprising Britain Document Case A4","Wilko","22.0CM","31.5CM",".5CM","Document Folders and Wallets",NA,NA,NA,NA,NA,1
"SBK","COO","445526","Wilko Enterprising Britain A5 Chunky FabricNotebook","Wilko","21.5CM","14.8CM","2.0CM","Notebooks",NA,NA,NA,NA,NA,1
"SBK","COO","445527","Wilko Enterprising Britain Paper Clips in Glass Jar 150pcs","Wilko","8.3CM","6.3CM","6.3CM","Punches and Fasteners",NA,NA,NA,NA,NA,1
"SBK","COO","445528","Wilko Enterprising Britain Wooden Pegs in Glass Jar 20pcs","Wilko","8.3CM","6.3CM","6.3CM","Pegs",NA,NA,NA,NA,NA,1
"SBK","DES","232062","Berol Pen Handwriting Black Medium 2pk","Berol","19.3CM","10.0CM","1.8CM","Rollerball Pens","Medium","Black","2pk",NA,NA,1
"SBK","DES","53216","Berol Handwriting Pen Blue Medium 2pk","Berol","19.3CM","10.0CM","1.8CM","Rollerball Pens","Medium","Blue","2pk",NA,NA,1
"SBK","DES","233149","Bic Cristal Original Ballpoint Pens Black 4pk","Bic","20.3CM","5.7CM",".8CM","Ballpoint Pens","Medium","Black","1",NA,NA,1
"SBK","DES","262466","Bic Cristal Grip Ballpoint Pens Black 4pk","Bic","19.7CM","8.0CM","1.6CM","Ballpoint Pens","Medium","Black","4pk",NA,NA,1
"SBK","DES","262479","Bic Cristal Original Ballpoint Pens AssortedColours 4pk","Bic","19.9CM","5.1CM","1.2CM","Ballpoint Pens","Medium","Multi","3pk",NA,NA,1
"SBK","DES","337220","Bic Cristal Original Ballpoint Pens Black 10pk","Bic","18.5CM","10.5CM","1.1CM","Ballpoint Pens","1.0mm","Black","10pk",NA,NA,1
"SBK","DES","452611","Bic 4 Colour Multi Function Pen","Bic","19.7CM","8.0CM","1.8CM","Ballpoint Pens","1.8 x 8 x 19.7cm","Multi","1",NA,NA,1
"SBK","DES","417419","Maped Ice Fun Pen Sky Blue","Maped","15.0CM","1.1CM","1.3CM","Gel Pens","17.6 x 6 x 1.9cm","Blue","1",NA,NA,1
"SBK","DES","417420","Maped Ice Fun Pen Pink","Maped","15.0CM","1.1CM","1.3CM","Gel Pens","17.6 x 6 x 1.9cm","Pink","1",NA,NA,1
